x,y,v0_first,sigma_v0
1.165703219251637179e+01,4.999999999999999899e-13,1.358863995373630473e+02,1.000000032802814899e-10
1.543128921026837830e+01,4.999999999999999899e-13,2.381246866909452820e+02,1.000000025548007045e-10
1.892299919854615098e+01,4.999999999999999899e-13,3.580798986681782594e+02,1.000000026679031130e-10
2.229534801913076691e+01,4.999999999999999899e-13,4.970825432941582562e+02,1.000000023702742487e-10
2.560285595381064638e+01,4.999999999999999899e-13,6.555062329915772352e+02,1.000000031256972533e-10
2.887037334704265490e+01,4.999999999999999899e-13,8.334984571976309553e+02,1.000000022356170644e-10
3.211119623968260584e+01,4.999999999999999899e-13,1.031128923943406107e+03,1.000000027657032618e-10
3.533319418271646128e+01,4.999999999999999899e-13,1.248434611153548303e+03,1.000000028137226731e-10
3.854136485167826010e+01,4.999999999999999899e-13,1.485436804630180404e+03,1.000000027668416174e-10
4.173905286712874840e+01,4.999999999999999899e-13,1.742148534244968687e+03,1.000000032450044728e-10
4.492858967668095715e+01,4.999999999999999899e-13,2.018578170335562845e+03,1.000000024063326801e-10
4.811165455497515353e+01,4.999999999999999899e-13,2.314731304017261209e+03,1.000000021126462749e-10
5.128949008028310885e+01,4.999999999999999899e-13,2.630611792695459371e+03,1.000000024009491560e-10
5.446303674290038543e+01,4.999999999999999899e-13,2.966222371258517796e+03,1.000000027072596298e-10
5.763302026247473719e+01,4.999999999999999899e-13,3.321565024574823383e+03,1.000000022272828966e-10
6.080001005484646726e+01,4.999999999999999899e-13,3.696641222669431500e+03,1.000000017213826978e-10
6.396445945816747525e+01,4.999999999999999899e-13,4.091452073775550616e+03,1.000000027435323786e-10
6.712673406774899831e+01,4.999999999999999899e-13,4.505998426602294785e+03,1.000000030215073669e-10
7.028713211016653872e+01,4.999999999999999899e-13,4.940280940272004045e+03,1.000000027836020414e-10
7.344589936232767968e+01,4.999999999999999899e-13,5.394300133141166043e+03,1.000000030394192135e-10
7.660324025465317277e+01,4.999999999999999899e-13,5.868056417512115331e+03,1.000000027325266759e-10
7.975932625545414112e+01,4.999999999999999899e-13,6.361550124723976296e+03,1.000000023994853436e-10
8.291430228592761864e+01,4.999999999999999899e-13,6.874781523562181974e+03,1.000000020488445418e-10
8.606829168718537915e+01,4.999999999999999899e-13,7.407750833950424749e+03,1.000000027940972315e-10
8.922140010816357858e+01,4.999999999999999899e-13,7.960458237261012982e+03,1.000000023724013953e-10
9.237371857929996111e+01,4.999999999999999899e-13,8.532903884167706565e+03,1.000000025430034934e-10
9.552532596484421390e+01,4.999999999999999899e-13,9.125087900689739399e+03,1.000000027194880864e-10
9.867629093601445334e+01,4.999999999999999899e-13,9.737010392888969363e+03,1.000000029018551873e-10
1.018266735710893158e+02,4.999999999999999899e-13,1.036867145055317815e+04,1.000000023658615374e-10
1.049765266624335140e+02,4.999999999999999899e-13,1.102007115010861344e+04,1.000000025144940286e-10
1.081258967913838944e+02,4.999999999999999899e-13,1.169120955694100121e+04,1.000000019598917230e-10
1.112748252178303119e+02,4.999999999999999899e-13,1.238208672725868564e+04,1.000000020757090287e-10
1.144233486208057968e+02,4.999999999999999899e-13,1.309270270959845948e+04,1.000000029874147044e-10
1.175714997184708892e+02,4.999999999999999899e-13,1.382305754605039874e+04,1.000000031540627111e-10
1.207193077898484148e+02,4.999999999999999899e-13,1.457315127326015681e+04,1.000000033252146129e-10
1.238667991160417472e+02,4.999999999999999899e-13,1.534298392325384157e+04,1.000000025720680869e-10
1.270139973550964925e+02,4.999999999999999899e-13,1.613255552412046018e+04,1.000000027044303361e-10
1.301609238618851805e+02,4.999999999999999899e-13,1.694186610057947109e+04,1.000000038656938047e-10
1.333075979622130092e+02,4.999999999999999899e-13,1.777091567445502005e+04,1.000000025032562888e-10
1.364540371886224648e+02,4.999999999999999899e-13,1.861970426507396405e+04,1.000000021676188501e-10
1.396002574840085799e+02,4.999999999999999899e-13,1.948823188960149128e+04,1.000000027451617951e-10
1.427462733780646431e+02,4.999999999999999899e-13,2.037649856332516720e+04,1.000000023721366200e-10
1.458920981407024442e+02,4.999999999999999899e-13,2.128450429989635450e+04,1.000000024778423923e-10
1.490377439158824302e+02,4.999999999999999899e-13,2.221224911153614812e+04,1.000000025858460983e-10
1.521832218387153262e+02,4.999999999999999899e-13,2.315973300921163900e+04,1.000000026961477378e-10
1.553285421382282721e+02,4.999999999999999899e-13,2.412695600278735219e+04,1.000000028087473110e-10
1.584737142278042370e+02,4.999999999999999899e-13,2.511391810115575936e+04,1.000000029236448177e-10
1.616187467849880477e+02,4.999999999999999899e-13,2.612061931235008524e+04,1.000000024630806176e-10
1.647636478220911442e+02,4.999999999999999899e-13,2.714705964364208194e+04,1.000000025598702618e-10
1.679084247488110861e+02,4.999999999999999899e-13,2.819323910162715401e+04,1.000000026585212305e-10
1.710530844279005862e+02,4.999999999999999899e-13,2.925915769229848593e+04,1.000000034062142064e-10
1.741976332247711525e+02,4.999999999999999899e-13,3.034481542111189265e+04,1.000000022608649044e-10
1.773420770517889764e+02,4.999999999999999899e-13,3.145021229304266308e+04,1.000000023432233876e-10
1.804864214079150031e+02,4.999999999999999899e-13,3.257534831263548040e+04,1.000000030717383878e-10
1.836306714142505143e+02,4.999999999999999899e-13,3.372022348404844524e+04,1.000000025123523933e-10
1.867748318459739778e+02,4.999999999999999899e-13,3.488483781109185657e+04,1.000000032895149452e-10
1.899189071610896917e+02,4.999999999999999899e-13,3.606919129726260144e+04,1.000000026873641396e-10
1.930629015263538690e+02,4.999999999999999899e-13,3.727328394577460858e+04,1.000000027770760258e-10
1.962068188406963429e+02,4.999999999999999899e-13,3.849711575958583853e+04,1.000000021960104934e-10
1.993506627564163693e+02,4.999999999999999899e-13,3.974068674142244708e+04,1.000000029609118505e-10
2.024944366983949067e+02,4.999999999999999899e-13,4.100399689380025666e+04,1.000000030550357889e-10
2.056381438815373883e+02,4.999999999999999899e-13,4.228704621904387750e+04,1.000000031506304156e-10
2.087817873266343156e+02,4.999999999999999899e-13,4.358983471930395899e+04,1.000000032476957178e-10
2.119253698748041757e+02,4.999999999999999899e-13,4.491236239657255646e+04,1.000000025619586602e-10
2.150688942006653690e+02,4.999999999999999899e-13,4.625462925269699190e+04,1.000000034462383743e-10
