x,y,v0_first,sigma_v0
4.493409457909064209e+00,4.999999999999999899e-13,2.019072855642662745e+01,1.000072806752386613e-12
7.725251836937706784e+00,4.999999999999999899e-13,5.967951594410941851e+01,1.000064027124526144e-12
1.090412165942889899e+01,4.999999999999999899e-13,1.188998691636264482e+02,1.000071753143448895e-12
1.406619391283147458e+01,4.999999999999999899e-13,1.978578111933772163e+02,1.000053068192363257e-12
1.722075527193076994e+01,4.999999999999999899e-13,2.965544121357314111e+02,1.000055236038209652e-12
2.037130295928756141e+01,4.999999999999999899e-13,4.149899842590781986e+02,1.000062609345603255e-12
2.351945249868900945e+01,4.999999999999999899e-13,5.531646458380886315e+02,1.000065940190374929e-12
2.666605425881267522e+01,4.999999999999999899e-13,7.110784497339416248e+02,1.000064897748566322e-12
2.981159879089295828e+01,4.999999999999999899e-13,8.887314224691705249e+02,1.000069937835629304e-12
3.295638903982247570e+01,4.999999999999999899e-13,1.086123578544130851e+03,1.000072827609405072e-12
3.610062224437560729e+01,4.999999999999999899e-13,1.303254926431106924e+03,1.000060685695290898e-12
3.924443236116419342e+01,4.999999999999999899e-13,1.540125471349991585e+03,1.000071715109425836e-12
4.238791356813192124e+01,4.999999999999999899e-13,1.796735216659422122e+03,1.000067767976493961e-12
4.553113401399128435e+01,4.999999999999999899e-13,2.073084164600034001e+03,1.000069744469545202e-12
4.867414423195438644e+01,4.999999999999999899e-13,2.369172316713098553e+03,1.000070604344682098e-12
5.181698248727966671e+01,4.999999999999999899e-13,2.684999674087047879e+03,1.000070326924817766e-12
5.495967828788893428e+01,4.999999999999999899e-13,3.020566237508250651e+03,1.000059425426521822e-12
5.810225475449558985e+01,4.999999999999999899e-13,3.375872007556305562e+03,1.000066415339724319e-12
6.124473026037440349e+01,4.999999999999999899e-13,3.750916984666019744e+03,1.000062877669133643e-12
6.438711959055740408e+01,4.999999999999999899e-13,4.145701169168741217e+03,1.000069495316750873e-12
6.752943477714411813e+01,4.999999999999999899e-13,4.560224561320561406e+03,1.000064234418163038e-12
7.067168571161948876e+01,4.999999999999999899e-13,4.994487161321922940e+03,1.000070351139812272e-12
7.381388060068064760e+01,4.999999999999999899e-13,5.448488969331539010e+03,1.000063426748201634e-12
7.695602631033118257e+01,4.999999999999999899e-13,5.922229985476385082e+03,1.000068941454501296e-12
8.009812862894511909e+01,4.999999999999999899e-13,6.415710209859036695e+03,1.000060496014585817e-12
8.324019247072340022e+01,4.999999999999999899e-13,6.928929642563077323e+03,1.000065335185165685e-12
8.638222203472871286e+01,4.999999999999999899e-13,7.461888283657170177e+03,1.000070360452901666e-12
8.952422093041718654e+01,4.999999999999999899e-13,8.014586133198145944e+03,1.000067408468127743e-12
9.266619227762284083e+01,4.999999999999999899e-13,8.587023191233367470e+03,1.000072222904107768e-12
