x,y,v0_first
3.141592653589793560e+00,9.999999999999999799e-13,9.869604401089359769e+00
6.283185307179587120e+00,9.999999999999999799e-13,3.947841760435743907e+01
9.424777960769379348e+00,9.999999999999999799e-13,8.882643960980422548e+01
1.256637061435917424e+01,9.999999999999999799e-13,1.579136704174297563e+02
1.570796326794896736e+01,9.999999999999999799e-13,2.467401100272339818e+02
1.884955592153876225e+01,9.999999999999999799e-13,3.553057584392169588e+02
2.199114857512854826e+01,9.999999999999999799e-13,4.836106156533784315e+02
2.513274122871834848e+01,9.999999999999999799e-13,6.316546816697190252e+02
2.827433388230813804e+01,9.999999999999999799e-13,7.994379564882380009e+02
3.141592653589793471e+01,9.999999999999999799e-13,9.869604401089359271e+02
3.455751918948772072e+01,9.999999999999999799e-13,1.194222132531812122e+03
3.769911184307752450e+01,9.999999999999999799e-13,1.421223033756867835e+03
4.084070449666730696e+01,9.999999999999999799e-13,1.667963143784101476e+03
4.398229715025710362e+01,9.999999999999999799e-13,1.934442462613514408e+03
4.712388980384689319e+01,9.999999999999999799e-13,2.220660990245105495e+03
5.026548245743669696e+01,9.999999999999999799e-13,2.526618726678876556e+03
5.340707511102648652e+01,9.999999999999999799e-13,2.852315671914824634e+03
5.654866776461627609e+01,9.999999999999999799e-13,3.197751825952952004e+03
5.969026041820607276e+01,9.999999999999999799e-13,3.562927188793258210e+03
6.283185307179586943e+01,9.999999999999999799e-13,3.947841760435743709e+03
6.597344572538565899e+01,9.999999999999999799e-13,4.352495540880408043e+03
6.911503837897545566e+01,9.999999999999999799e-13,4.776888530127250306e+03
7.225663103256525233e+01,9.999999999999999799e-13,5.221020728176271405e+03
7.539822368615504899e+01,9.999999999999999799e-13,5.684892135027471340e+03
7.853981633974483145e+01,9.999999999999999799e-13,6.168502750680848294e+03
8.168140899333461391e+01,9.999999999999999799e-13,6.671852575136405903e+03
8.482300164692441058e+01,9.999999999999999799e-13,7.194941608394142349e+03
8.796459430051420725e+01,9.999999999999999799e-13,7.737769850454055813e+03
9.110618695410400392e+01,9.999999999999999799e-13,8.300337301316150842e+03
9.424777960769380059e+01,9.999999999999999799e-13,8.882643960980423799e+03
9.738937226128358304e+01,9.999999999999999799e-13,9.484689829446871954e+03
1.005309649148733797e+02,9.999999999999999799e-13,1.010647490671550258e+04
1.036725575684631764e+02,9.999999999999999799e-13,1.074799919278631205e+04
1.068141502220529730e+02,9.999999999999999799e-13,1.140926268765929854e+04
1.099557428756427555e+02,9.999999999999999799e-13,1.209026539133446386e+04
1.130973355292325664e+02,9.999999999999999799e-13,1.279100730381180983e+04
1.162389281828223488e+02,9.999999999999999799e-13,1.351148842509133283e+04
1.193805208364121455e+02,9.999999999999999799e-13,1.425170875517303466e+04
1.225221134900019280e+02,9.999999999999999799e-13,1.501166829405691351e+04
1.256637061435917246e+02,9.999999999999999799e-13,1.579136704174297302e+04
1.288052987971815355e+02,9.999999999999999799e-13,1.659080499823121863e+04
1.319468914507713180e+02,9.999999999999999799e-13,1.740998216352162854e+04
1.350884841043611004e+02,9.999999999999999799e-13,1.824889853761421909e+04
1.382300767579509113e+02,9.999999999999999799e-13,1.910755412050899758e+04
1.413716694115406938e+02,9.999999999999999799e-13,1.998594891220594945e+04
1.445132620651304762e+02,9.999999999999999799e-13,2.088408291270508198e+04
1.476548547187202871e+02,9.999999999999999799e-13,2.180195612200639516e+04
1.507964473723100980e+02,9.999999999999999799e-13,2.273956854010988536e+04
1.539380400258998520e+02,9.999999999999999799e-13,2.369692016701554894e+04
1.570796326794896629e+02,9.999999999999999799e-13,2.467401100272339681e+04
1.602212253330794454e+02,9.999999999999999799e-13,2.567084104723341443e+04
1.633628179866692278e+02,9.999999999999999799e-13,2.668741030054562361e+04
1.665044106402590387e+02,9.999999999999999799e-13,2.772371876266000982e+04
1.696460032938488212e+02,9.999999999999999799e-13,2.877976643357656576e+04
1.727875959474386036e+02,9.999999999999999799e-13,2.985555331329530600e+04
1.759291886010284429e+02,9.999999999999999799e-13,3.095107940181623417e+04
1.790707812546182254e+02,9.999999999999999799e-13,3.206634469913932844e+04
1.822123739082080078e+02,9.999999999999999799e-13,3.320134920526460337e+04
1.853539665617978187e+02,9.999999999999999799e-13,3.435609292019205895e+04
1.884955592153875727e+02,9.999999999999999799e-13,3.553057584392168792e+04
1.916371518689773836e+02,9.999999999999999799e-13,3.672479797645350482e+04
1.947787445225671945e+02,9.999999999999999799e-13,3.793875931778749509e+04
1.979203371761569485e+02,9.999999999999999799e-13,3.917245986792365875e+04
2.010619298297467878e+02,9.999999999999999799e-13,4.042589962686202489e+04
2.042035224833365703e+02,9.999999999999999799e-13,4.169907859460254258e+04
2.073451151369263528e+02,9.999999999999999799e-13,4.299199677114524093e+04
2.104867077905161636e+02,9.999999999999999799e-13,4.430465415649013448e+04
2.136283004441059177e+02,9.999999999999999799e-13,4.563705075063718687e+04
2.167698930976957570e+02,9.999999999999999799e-13,4.698918655358644173e+04
2.199114857512855110e+02,9.999999999999999799e-13,4.836106156533785543e+04
2.230530784048753219e+02,9.999999999999999799e-13,4.975267578589145705e+04
2.261946710584651328e+02,9.999999999999999799e-13,5.116402921524723934e+04
2.293362637120549152e+02,9.999999999999999799e-13,5.259512185340519500e+04
2.324778563656446977e+02,9.999999999999999799e-13,5.404595370036533131e+04
2.356194490192344801e+02,9.999999999999999799e-13,5.551652475612763374e+04
2.387610416728242910e+02,9.999999999999999799e-13,5.700683502069213137e+04
