x,y,v0_first
1.279078171197211411e+01,9.999999999999999799e-13,1.636040968033202887e+02
1.664100288151218621e+01,9.999999999999999799e-13,2.769229769024969414e+02
2.018247076494917280e+01,9.999999999999999799e-13,4.073321261780280906e+02
2.359127481798296699e+01,9.999999999999999799e-13,5.565482475375972626e+02
2.692704077881801794e+01,9.999999999999999799e-13,7.250655251041284828e+02
3.021726270936139969e+01,9.999999999999999799e-13,9.130829656465630251e+02
3.347680081950147013e+01,9.999999999999999799e-13,1.120696193108574334e+03
3.671452912724470963e+01,9.999999999999999799e-13,1.347956649035300416e+03
3.993612781086767427e+01,9.999999999999999799e-13,1.594894304525958432e+03
4.314542501760314508e+01,9.999999999999999799e-13,1.861527699949615453e+03
4.634510606532128918e+01,9.999999999999999799e-13,2.147868856205880093e+03
4.953711607454690125e+01,9.999999999999999799e-13,2.453925868983133114e+03
5.272290170973327861e+01,9.999999999999999799e-13,2.779704364694196556e+03
5.590356302416307699e+01,9.999999999999999799e-13,3.125208358796573521e+03
5.907995246219343244e+01,9.999999999999999799e-13,3.490440782935036168e+03
6.225274146653904239e+01,9.999999999999999799e-13,3.875403820099749737e+03
6.542246650926627183e+01,9.999999999999999799e-13,4.280099124156066864e+03
6.858956165048994080e+01,9.999999999999999799e-13,4.704527967406360403e+03
7.175438204080364812e+01,9.999999999999999799e-13,5.148691342057604743e+03
7.491722119388515466e+01,9.999999999999999799e-13,5.612590031413515135e+03
7.807832388526212242e+01,9.999999999999999799e-13,6.096224660731893891e+03
8.123789592393602277e+01,9.999999999999999799e-13,6.599595734148260817e+03
8.439611165141826632e+01,9.999999999999999799e-13,7.122703661878657840e+03
8.755311976468580326e+01,9.999999999999999799e-13,7.665548780529416945e+03
9.070904788633876592e+01,9.999999999999999799e-13,8.228131368446098350e+03
9.386400618684200481e+01,9.999999999999999799e-13,8.810451657443512886e+03
9.701809028146601577e+01,9.999999999999999799e-13,9.412509841862691246e+03
1.001713835665192676e+02,9.999999999999999799e-13,1.003430608563072747e+04
1.033239591179727910e+02,9.999999999999999799e-13,1.067584052781251376e+04
1.064758812455314541e+02,9.999999999999999799e-13,1.133711328701251659e+04
1.096272067731887034e+02,9.999999999999999799e-13,1.201812446489147078e+04
1.127779861009947808e+02,9.999999999999999799e-13,1.271887414899617215e+04
1.159282640905649657e+02,9.999999999999999799e-13,1.343936241505177350e+04
1.190780808076382726e+02,9.999999999999999799e-13,1.417958932883043053e+04
1.222274721479731880e+02,9.999999999999999799e-13,1.493955494768356220e+04
1.253764703674712422e+02,9.999999999999999799e-13,1.571925932180539530e+04
1.285251045332402668e+02,9.999999999999999799e-13,1.651870249528033673e+04
