x,y,v0_first
1.929747073968815982e+02,1.159694252789577007e+01,3.710474861891675391e+04
1.961200420941690652e+02,1.159694252789577007e+01,3.832858183502332395e+04
1.992652584600030252e+02,1.159694252789577007e+01,3.957215415313648555e+04
2.024103620268775785e+02,1.159694252789577007e+01,4.083546557985632535e+04
2.055553579872724299e+02,1.159694252789577007e+01,4.211851612128040870e+04
2.087002512194089547e+02,1.159694252789577007e+01,4.342130578304908704e+04
2.118450463106968868e+02,1.159694252789577007e+01,4.474383457038598863e+04
2.149897475791109400e+02,1.159694252789577007e+01,4.608610248813452199e+04
2.181343590927066600e+02,1.159694252789577007e+01,4.744810954079057410e+04
2.212788846874626643e+02,1.159694252789577007e+01,4.882985573253207986e+04
2.244233279836143140e+02,1.159694252789577007e+01,5.023134106724560115e+04
2.275676924006255604e+02,1.159694252789577007e+01,5.165256554855041759e+04
2.307119811709301587e+02,1.159694252789577007e+01,5.309352917982031795e+04
2.338561973525580981e+02,1.159694252789577007e+01,5.455423196420328168e+04
2.370003438407520946e+02,1.159694252789577007e+01,5.603467390463939955e+04
2.401444233786670566e+02,1.159694252789577007e+01,5.753485500387717912e+04
2.432884385672356871e+02,1.159694252789577007e+01,5.905477526448829303e+04
2.464323918742753392e+02,1.159694252789577007e+01,6.059443468888109055e+04
2.495762856429035992e+02,1.159694252789577007e+01,6.215383327931289386e+04
2.527201220993226514e+02,1.159694252789577007e+01,6.373297103790122492e+04
2.558639033600272796e+02,1.159694252789577007e+01,6.533184796663406451e+04
2.590076314384859870e+02,1.159694252789577007e+01,6.695046406737927464e+04
2.621513082513388895e+02,1.159694252789577007e+01,6.858881934189319145e+04
2.652949356241535952e+02,1.159694252789577007e+01,7.024691379182849778e+04
2.684385152967749377e+02,1.159694252789577007e+01,7.192474741874155006e+04
2.715820489283015036e+02,1.159694252789577007e+01,7.362232022409905039e+04
2.747255381017194509e+02,1.159694252789577007e+01,7.533963220928399824e+04
2.778689843282205629e+02,1.159694252789577007e+01,7.707668337560156942e+04
2.810123890512294906e+02,1.159694252789577007e+01,7.883347372428425297e+04
2.841557536501626942e+02,1.159694252789577007e+01,8.061000325649662409e+04
2.872990794439395472e+02,1.159694252789577007e+01,8.240627197333978256e+04
2.904423676942653856e+02,1.159694252789577007e+01,8.422227987585554365e+04
2.935856196087018475e+02,1.159694252789577007e+01,8.605802696503006155e+04
2.967288363435426390e+02,1.159694252789577007e+01,8.791351324179758376e+04
2.998720190065068323e+02,1.159694252789577007e+01,8.978873870704349247e+04
3.030151686592649867e+02,1.159694252789577007e+01,9.168370336160747684e+04
3.061582863198081554e+02,1.159694252789577007e+01,9.359840720628632698e+04
3.093013729646729644e+02,1.159694252789577007e+01,9.553285024183640780e+04
3.124444295310312896e+02,1.159694252789577007e+01,9.748703246897624922e+04
3.155874569186551639e+02,1.159694252789577007e+01,9.946095388838869985e+04
