x,y,v0_first
2.747255421525532597e+02,9.999999999999999799e-13,7.547412351101431705e+04
2.778689883332285149e+02,9.999999999999999799e-13,7.721117467733187368e+04
2.810123930114374389e+02,9.999999999999999799e-13,7.896796502601457178e+04
2.841557575665623290e+02,9.999999999999999799e-13,8.074449455822692835e+04
2.872990833174900445e+02,9.999999999999999799e-13,8.254076327507010137e+04
2.904423715258946572e+02,9.999999999999999799e-13,8.435677117758581880e+04
2.935856233993080764e+02,9.999999999999999799e-13,8.619251826676036580e+04
2.967288400939953590e+02,9.999999999999999799e-13,8.804800454352785891e+04
2.998720227176482922e+02,9.999999999999999799e-13,8.992323000877378217e+04
3.030151723319110602e+02,9.999999999999999799e-13,9.181819466333776654e+04
3.061582899547496481e+02,9.999999999999999799e-13,9.373289850801657303e+04
3.093013765626765803e+02,9.999999999999999799e-13,9.566734154356665385e+04
3.124444330928404838e+02,9.999999999999999799e-13,9.762152377070646617e+04
3.155874604449912795e+02,9.999999999999999799e-13,9.959544519011893135e+04
3.187304594833279339e+02,9.999999999999999799e-13,1.015891058024533413e+05
3.218734310382381523e+02,9.999999999999999799e-13,1.036025056083274394e+05
3.250163759079367196e+02,9.999999999999999799e-13,1.056356446083292103e+05
3.281592948600093678e+02,9.999999999999999799e-13,1.076885228030185681e+05
3.313021886328688765e+02,9.999999999999999799e-13,1.097611401929290441e+05
3.344450579371281833e+02,9.999999999999999799e-13,1.118534967785690387e+05
3.375879034568974362e+02,9.999999999999999799e-13,1.139655925604234944e+05
3.407307258510084580e+02,9.999999999999999799e-13,1.160974275389550749e+05
3.438735257541721353e+02,9.999999999999999799e-13,1.182490017146052996e+05
3.470163037780729383e+02,9.999999999999999799e-13,1.204203150877958105e+05
3.501590605124040394e+02,9.999999999999999799e-13,1.226113676589294191e+05
3.533017965258470099e+02,9.999999999999999799e-13,1.248221594283909944e+05
3.564445123670002431e+02,9.999999999999999799e-13,1.270526903965485981e+05
3.595872085652577539e+02,9.999999999999999799e-13,1.293029605637541827e+05
3.627298856316426736e+02,9.999999999999999799e-13,1.315729699303445814e+05
3.658725440595975442e+02,9.999999999999999799e-13,1.338627184966421337e+05
3.690151843257341397e+02,9.999999999999999799e-13,1.361722062629555585e+05
3.721578068905455439e+02,9.999999999999999799e-13,1.385014332295805798e+05
3.753004121990816202e+02,9.999999999999999799e-13,1.408503993968005525e+05
3.784430006815915704e+02,9.999999999999999799e-13,1.432191047648871026e+05
3.815855727541343185e+02,9.999999999999999799e-13,1.456075493341007386e+05
3.847281288191588828e+02,9.999999999999999799e-13,1.480157331046913168e+05
3.878706692660566659e+02,9.999999999999999799e-13,1.504436560768987110e+05
3.910131944716866315e+02,9.999999999999999799e-13,1.528913182509530161e+05
3.941557048008760944e+02,9.999999999999999799e-13,1.553587196270753630e+05
3.972982006068968417e+02,9.999999999999999799e-13,1.578458602054780640e+05
4.004406822319194816e+02,9.999999999999999799e-13,1.603527399863651372e+05
4.035831500074459655e+02,9.999999999999999799e-13,1.628793589699326258e+05
4.067256042547226116e+02,9.999999999999999799e-13,1.654257171563692100e+05
4.098680452851334053e+02,9.999999999999999799e-13,1.679918145458561485e+05
4.130104734005761316e+02,9.999999999999999799e-13,1.705776511385680060e+05
4.161528888938205455e+02,9.999999999999999799e-13,1.731832269346725370e+05
4.192952920488513655e+02,9.999999999999999799e-13,1.758085419343315589e+05
4.224376831411949524e+02,9.999999999999999799e-13,1.784535961377006024e+05
4.255800624382321757e+02,9.999999999999999799e-13,1.811183895449295815e+05
4.287224301994974667e+02,9.999999999999999799e-13,1.838029221561629674e+05
4.318647866769642860e+02,9.999999999999999799e-13,1.865071939715398767e+05
4.350071321153190524e+02,9.999999999999999799e-13,1.892312049911946524e+05
4.381494667522219970e+02,9.999999999999999799e-13,1.919749552152564866e+05
4.412917908185584110e+02,9.999999999999999799e-13,1.947384446438503219e+05
4.444341045386779001e+02,9.999999999999999799e-13,1.975216732770964736e+05
4.475764081306242588e+02,9.999999999999999799e-13,2.003246411151111533e+05
4.507187018063555115e+02,9.999999999999999799e-13,2.031473481580064399e+05
4.538609857719549723e+02,9.999999999999999799e-13,2.059897944058907160e+05
4.570032602278330387e+02,9.999999999999999799e-13,2.088519798588684935e+05
4.601455253689214260e+02,9.999999999999999799e-13,2.117339045170407044e+05
4.632877813848591018e+02,9.999999999999999799e-13,2.146355683805049921e+05
4.664300284601707176e+02,9.999999999999999799e-13,2.175569714493556821e+05
4.695722667744379351e+02,9.999999999999999799e-13,2.204981137236839277e+05
4.727144965024637031e+02,9.999999999999999799e-13,2.234589952035777678e+05
4.758567178144306240e+02,9.999999999999999799e-13,2.264396158891226514e+05
4.789989308760519293e+02,9.999999999999999799e-13,2.294399757804007968e+05
4.821411358487181360e+02,9.999999999999999799e-13,2.324600748774920939e+05
4.852833328896364264e+02,9.999999999999999799e-13,2.354999131804736971e+05
4.884255221519657084e+02,9.999999999999999799e-13,2.385594906894203450e+05
4.915677037849459907e+02,9.999999999999999799e-13,2.416388074044043897e+05
4.947098779340228702e+02,9.999999999999999799e-13,2.447378633254958258e+05
4.978520447409677558e+02,9.999999999999999799e-13,2.478566584527625528e+05
5.009942043439926351e+02,9.999999999999999799e-13,2.509951927862702287e+05
5.041363568778614876e+02,9.999999999999999799e-13,2.541534663260825328e+05
5.072785024739972641e+02,9.999999999999999799e-13,2.573314790722612524e+05
5.104206412605843752e+02,9.999999999999999799e-13,2.605292310248661670e+05
5.135627733626680538e+02,9.999999999999999799e-13,2.637467221839551348e+05
5.167048989022501928e+02,9.999999999999999799e-13,2.669839525495846174e+05
5.198470179983809203e+02,9.999999999999999799e-13,2.702409221218089806e+05
5.229891307672476159e+02,9.999999999999999799e-13,2.735176309006812517e+05
5.261312373222602901e+02,9.999999999999999799e-13,2.768140788862525951e+05
5.292733377741342338e+02,9.999999999999999799e-13,2.801302660785727785e+05
5.324154322309698273e+02,9.999999999999999799e-13,2.834661924776904052e+05
5.355575207983287100e+02,9.999999999999999799e-13,2.868218580836522742e+05
5.386996035793083593e+02,9.999999999999999799e-13,2.901972628965040203e+05
5.418416806746133716e+02,9.999999999999999799e-13,2.935924069162896485e+05
5.449837521826245847e+02,9.999999999999999799e-13,2.970072901430524071e+05
5.481258181994658116e+02,9.999999999999999799e-13,3.004419125768337981e+05
5.512678788190679597e+02,9.999999999999999799e-13,3.038962742176745669e+05
5.544099341332314452e+02,9.999999999999999799e-13,3.073703750656140619e+05
5.575519842316862196e+02,9.999999999999999799e-13,3.108642151206904673e+05
5.606940292021497498e+02,9.999999999999999799e-13,3.143777943829412106e+05
5.638360691303832937e+02,9.999999999999999799e-13,3.179111128524023807e+05
5.669781041002457869e+02,9.999999999999999799e-13,3.214641705291091348e+05
5.701201341937467078e+02,9.999999999999999799e-13,3.250369674130958156e+05
5.732621594910967815e+02,9.999999999999999799e-13,3.286295035043956595e+05
5.764041800707562970e+02,9.999999999999999799e-13,3.322417788030409138e+05
5.795461960094841061e+02,9.999999999999999799e-13,3.358737933090633596e+05
5.826882073823817336e+02,9.999999999999999799e-13,3.395255470224934979e+05
5.858302142629391938e+02,9.999999999999999799e-13,3.431970399433611892e+05
5.889722167230772811e+02,9.999999999999999799e-13,3.468882720716954791e+05
5.921142148331896351e+02,9.999999999999999799e-13,3.505992434075246565e+05
5.952562086621828712e+02,9.999999999999999799e-13,3.543299539508762537e+05
5.983981982775158031e+02,9.999999999999999799e-13,3.580804037017771043e+05
6.015401837452368454e+02,9.999999999999999799e-13,3.618505926602532854e+05
