x,y,v0_first,sigma_v0
9.355812111042746793e+00,9.999999999999999799e-13,8.753122025713413734e+01,1.071763814775746984e-12
1.296653017277434472e+01,9.999999999999999799e-13,1.681309047214674592e+02,1.023921271590582317e-12
1.635470963935046029e+01,9.999999999999999799e-13,2.674765273874629088e+02,1.669795604594306826e-12
1.965315210182118477e+01,9.999999999999999799e-13,3.862463875373184692e+02,1.119606357964911643e-12
2.290455064790372219e+01,9.999999999999999799e-13,5.246184403823868934e+02,1.047842543183164550e-12
2.612775013722550810e+01,9.999999999999999799e-13,6.826593272332875131e+02,1.741559419368051310e-12
2.933256257858482030e+01,9.999999999999999799e-13,8.603992274265946207e+02,1.430582888668482078e-12
3.252466128857884087e+01,9.999999999999999799e-13,1.057853591936779139e+03,2.578803925112435698e-12
3.570757695306141954e+01,9.999999999999999799e-13,1.275031051858802812e+03,3.487812245626558317e-12
3.888363095546305459e+01,9.999999999999999799e-13,1.511936756280644886e+03,1.478425431853646543e-12
4.205441641282682497e+01,9.999999999999999799e-13,1.768573939823438423e+03,1.669795604594305614e-12
4.522106501592390515e+01,9.999999999999999799e-13,2.044944721174416827e+03,1.071763814779746976e-12
4.838440386055035702e+01,9.999999999999999799e-13,2.341050536940840175e+03,2.339591209182609544e-12
5.154505204258838091e+01,9.999999999999999799e-13,2.656892390073144725e+03,5.186222528703914382e-12
5.470348250768681453e+01,9.999999999999999799e-13,2.992470998468797461e+03,1.741559419368052118e-12
5.786006297284509969e+01,9.999999999999999799e-13,3.347786887221600864e+03,6.812868996999514265e-12
6.101508377230608460e+01,9.999999999999999799e-13,3.722840447741529260e+03,1.382740345483317209e-12
6.416877727296704848e+01,9.999999999999999799e-13,4.117631976707652029e+03,6.980317898143573947e-12
6.732133170374895315e+01,9.999999999999999799e-13,4.532161702366194731e+03,2.196063579631117151e-12
7.047290119380885187e+01,9.999999999999999799e-13,4.966429802672345431e+03,8.630885638035773624e-12
7.362361318251753062e+01,9.999999999999999799e-13,5.420436418048969244e+03,4.420741837741275673e-12
7.677357397253474858e+01,9.999999999999999799e-13,5.894181660516264856e+03,2.913701727404585546e-12
7.992287294841017342e+01,9.999999999999999799e-13,6.387665620327714350e+03,5.568962874181221021e-12
8.307158582128165847e+01,9.999999999999999799e-13,6.900888370862563534e+03,1.178849348825261357e-11
8.621977715280901577e+01,9.999999999999999799e-13,7.433849972280047041e+03,7.386979515217476341e-12
8.936750233883377348e+01,9.999999999999999799e-13,7.986550474281459174e+03,1.169280840188228787e-11
9.251480918329160374e+01,9.999999999999999799e-13,8.558989918220857362e+03,1.176457221666406021e-11
9.566173915800634120e+01,9.999999999999999799e-13,9.151168338734443751e+03,4.923088541181500341e-12
9.880832841926932986e+01,9.999999999999999799e-13,9.763085765010187970e+03,1.142967441436790330e-11
1.019546086343615343e+02,9.999999999999999799e-13,1.039474222178582750e+04,4.468584380926439331e-12
1.051006076582799551e+02,9.999999999999999799e-13,1.104613773013969512e+04,1.111869788366433226e-11
1.082463500914566197e+02,9.999999999999999799e-13,1.171727230812219204e+04,1.552021185669949049e-11
1.113918577422226690e+02,9.999999999999999799e-13,1.240814597126357148e+04,2.085465542184130027e-11
1.145371500124959709e+02,9.999999999999999799e-13,1.311875873298500665e+04,5.066616170736995352e-12
1.176822442211800279e+02,9.999999999999999799e-13,1.384911060493346122e+04,6.238758478777533417e-12
1.208271558767153664e+02,9.999999999999999799e-13,1.459920159725607300e+04,1.437199082025151245e-11
1.239718989078825047e+02,9.999999999999999799e-13,1.536903171882623792e+04,1.482649498051057284e-11
1.271164858601389795e+02,9.999999999999999799e-13,1.615860097743091319e+04,7.147766799291654017e-12
1.302609280633548394e+02,9.999999999999999799e-13,1.696790937992650652e+04,1.920408768195313552e-11
1.334052357756968377e+02,9.999999999999999799e-13,1.779695693236926672e+04,2.288796350721485524e-11
1.365494183075302601e+02,9.999999999999999799e-13,1.864574364012488149e+04,1.743391358410204305e-11
1.396934841285049060e+02,9.999999999999999799e-13,1.951426950796084930e+04,1.729038595455057973e-11
1.428374409604319055e+02,9.999999999999999799e-13,2.040253454012487418e+04,2.176366374236347618e-11
1.459812958581042608e+02,9.999999999999999799e-13,2.131053874041137169e+04,1.095685086368329217e-12
1.491250552798502156e+02,9.999999999999999799e-13,2.223828211221838137e+04,3.035140024409648572e-11
1.522687251493104554e+02,9.999999999999999799e-13,2.318576465859624659e+04,3.714504137638985751e-11
1.554123109096877897e+02,9.999999999999999799e-13,2.415298638228945856e+04,2.542361829602856946e-11
1.585558175715189009e+02,9.999999999999999799e-13,2.513994728577278147e+04,1.530492041236624192e-11
1.616992497548532413e+02,9.999999999999999799e-13,2.614664737128240449e+04,1.473080989414025522e-11
1.648426117265892969e+02,9.999999999999999799e-13,2.717308664084307748e+04,2.551930338239486104e-11
1.679859074336047513e+02,9.999999999999999799e-13,2.821926509629162683e+04,5.025389820912911656e-11
1.711291405322237154e+02,9.999999999999999799e-13,2.928518273929757197e+04,1.915624513877199629e-11
1.742723144144847538e+02,9.999999999999999799e-13,3.037083957138103142e+04,3.295881884768796239e-11
1.774154322316085484e+02,9.999999999999999799e-13,3.147623559392848620e+04,6.119152120810616810e-12
1.805584969150072823e+02,9.999999999999999799e-13,3.260137080820669871e+04,1.908448132399424999e-11
1.837015111951310473e+02,9.999999999999999799e-13,3.374624521537485998e+04,3.252823595902147816e-11
1.868444776184069269e+02,9.999999999999999799e-13,3.491085881649536896e+04,7.482664601591811927e-12
1.899873985624926149e+02,9.999999999999999799e-13,3.609521161254341860e+04,8.583043094846595233e-12
1.931302762500365020e+02,9.999999999999999799e-13,3.729930360441541416e+04,3.128432983620721339e-11
1.962731127611127420e+02,9.999999999999999799e-13,3.852313479293647833e+04,1.441983336343667934e-11
1.994159100444776413e+02,9.999999999999999799e-13,3.976670517886719608e+04,4.530219498946042825e-11
2.025586699277755542e+02,9.999999999999999799e-13,4.103001476290952269e+04,7.979666862596832186e-11
2.057013941268075712e+02,9.999999999999999799e-13,4.231306354571221891e+04,1.035321719269768770e-11
2.088440842539608298e+02,9.999999999999999799e-13,4.361585152787549305e+04,1.308024215425207270e-11
2.119867418258872362e+02,9.999999999999999799e-13,4.493837870995537378e+04,5.545041602588641616e-12
2.151293682705072854e+02,9.999999999999999799e-13,4.628064509246755188e+04,4.601983313724198832e-11
2.182719649334079008e+02,9.999999999999999799e-13,4.764265067589085083e+04,3.033308085367497920e-12
2.214145330836941810e+02,9.999999999999999799e-13,4.902439546067030460e+04,6.422392081919299471e-11
2.245570739193490510e+02,9.999999999999999799e-13,5.042587944721999520e+04,1.205162747577504215e-11
2.276995885721483717e+02,9.999999999999999799e-13,5.184710263592564297e+04,4.133126390509583037e-11
2.308420781121735956e+02,9.999999999999999799e-13,5.328806502714686212e+04,3.116472347824833109e-11
2.339845435519603711e+02,9.999999999999999799e-13,5.474876662121924164e+04,1.595079474536595856e-11
2.371269858503166859e+02,9.999999999999999799e-13,5.622920741845629527e+04,3.877168784468954159e-11
2.402694059158409630e+02,9.999999999999999799e-13,5.772938741915114952e+04,6.307569978274906694e-11
2.434118046101669677e+02,9.999999999999999799e-13,5.924930662357810070e+04,7.721877317513633250e-12
2.465541827509606492e+02,9.999999999999999799e-13,6.078896503199409926e+04,2.219424663102593759e-11
2.496965411146898361e+02,9.999999999999999799e-13,6.234836264463999396e+04,4.621120330998264294e-11
2.528388804391875340e+02,9.999999999999999799e-13,6.392749946174176876e+04,4.690492018616751516e-11
2.559812014260258479e+02,9.999999999999999799e-13,6.552637548351161240e+04,2.917925793605996724e-11
2.591235047427170457e+02,9.999999999999999799e-13,6.714499071014890797e+04,1.765480690964634544e-12
2.622657910247563109e+02,9.999999999999999799e-13,6.878334514184114232e+04,5.149780433194333610e-11
2.654080608775190058e+02,9.999999999999999799e-13,7.044143877876483020e+04,3.432233132846919385e-11
2.685503148780246079e+02,9.999999999999999799e-13,7.211927162108616903e+04,5.106722144327278706e-11
2.716925535765780637e+02,9.999999999999999799e-13,7.381684366896175197e+04,7.661513950415481668e-11
2.748347774982987062e+02,9.999999999999999799e-13,7.553415492253936827e+04,2.291748666001446081e-12
2.779769871445447507e+02,9.999999999999999799e-13,7.727120538195839617e+04,1.451551844981101654e-11
2.811191829942427489e+02,9.999999999999999799e-13,7.902799504735053051e+04,9.785722867836795218e-11
2.842613655051284809e+02,9.999999999999999799e-13,8.080452391884026292e+04,8.123194492152320895e-11
2.874035351149063331e+02,9.999999999999999799e-13,8.260079199654518743e+04,1.287635115759800202e-10
2.905456922423332458e+02,9.999999999999999799e-13,8.441679928057664074e+04,1.794048435374813920e-10
2.936878372882337658e+02,9.999999999999999799e-13,8.625254577104006603e+04,8.309780410574465135e-11
2.968299706364492749e+02,9.999999999999999799e-13,8.810803146803533309e+04,2.841377724509733903e-11
2.999720926547285558e+02,9.999999999999999799e-13,8.998325637165705848e+04,3.755170299346781583e-11
3.031142036955625940e+02,9.999999999999999799e-13,9.187822048199502751e+04,9.725919688855336527e-11
3.062563040969678241e+02,9.999999999999999799e-13,9.379292379913442710e+04,5.008644930797689090e-11
3.093983941832215123e+02,9.999999999999999799e-13,9.572736632315612223e+04,1.103202111781033458e-10
3.125404742655533141e+02,9.999999999999999799e-13,9.768154805413699069e+04,1.243436782125635464e-11
3.156825446427946531e+02,9.999999999999999799e-13,9.965546899215003941e+04,4.003951523909234519e-11
3.188246056019903563e+02,9.999999999999999799e-13,1.016491291372647102e+05,1.862997716373116840e-11
3.219666574189741368e+02,9.999999999999999799e-13,1.036625284895470686e+05,6.231021909179053263e-11
3.251087003589107667e+02,9.999999999999999799e-13,1.056956670490600227e+05,2.408402708683994809e-11
3.282507346768068714e+02,9.999999999999999799e-13,1.077485448158634536e+05,1.112770620418066254e-10
3.313927606179930763e+02,9.999999999999999799e-13,1.098211617900144774e+05,2.449969702443422539e-10
3.345347784185785827e+02,9.999999999999999799e-13,1.119135179715674894e+05,1.231180914801349189e-10
3.376767883058803363e+02,9.999999999999999799e-13,1.140256133605743380e+05,5.994201320412489202e-11
3.408187904988287755e+02,9.999999999999999799e-13,1.161574479570845433e+05,6.864935606382076466e-11
3.439607852083509556e+02,9.999999999999999799e-13,1.183090217611453263e+05,5.176093831945769160e-11
3.471027726377331533e+02,9.999999999999999799e-13,1.204803347728018562e+05,6.606585873182187225e-11
3.502447529829636892e+02,9.999999999999999799e-13,1.226713869920972356e+05,1.548616188834873517e-10
3.533867264330575040e+02,9.999999999999999799e-13,1.248821784190726175e+05,1.377395903044096612e-11
3.565286931703637947e+02,9.999999999999999799e-13,1.271127090537674230e+05,2.048809977835814942e-10
3.596706533708572806e+02,9.999999999999999799e-13,1.293629788962193561e+05,1.234529892824267945e-10
3.628126072044140074e+02,9.999999999999999799e-13,1.316329879464644182e+05,3.977638125157796385e-11
3.659545548350739068e+02,9.999999999999999799e-13,1.339227362045371265e+05,1.139084019169906604e-10
3.690964964212889186e+02,9.999999999999999799e-13,1.362322236704705574e+05,8.472445057404021246e-11
3.722384321161590606e+02,9.999999999999999799e-13,1.385614503442963760e+05,9.644587365440141650e-11
3.753803620676563924e+02,9.999999999999999799e-13,1.409104162260448211e+05,1.944034808260302769e-10
3.785222864188383483e+02,9.999999999999999799e-13,1.432791213157451130e+05,1.130233148680651271e-10
3.816642053080495884e+02,9.999999999999999799e-13,1.456675656134250457e+05,2.613351987420758568e-10
3.848061188691149823e+02,9.999999999999999799e-13,1.480757491191114532e+05,3.707327756161615664e-11
3.879480272315222464e+02,9.999999999999999799e-13,1.505036718328299467e+05,2.230133216507588967e-10
3.910899305205967948e+02,9.999999999999999799e-13,1.529513337546052062e+05,2.102210432298940295e-11
3.942318288576671534e+02,9.999999999999999799e-13,1.554187348844609514e+05,2.494941693037428975e-10
3.973737223602232689e+02,9.999999999999999799e-13,1.579058752224197960e+05,7.171688070888242501e-12
4.005156111420673710e+02,9.999999999999999799e-13,1.604127547685037134e+05,6.233414036337906499e-11
4.036574953134571047e+02,9.999999999999999799e-13,1.629393735227336583e+05,1.891703242284616992e-11
4.067993749812428064e+02,9.999999999999999799e-13,1.654857314851297997e+05,8.293035520459652928e-11
4.099412502489980170e+02,9.999999999999999799e-13,1.680518286557116080e+05,8.798334539183839154e-12
4.130831212171440825e+02,9.999999999999999799e-13,1.706376650344977679e+05,1.064449651801049684e-10
4.162249879830693544e+02,9.999999999999999799e-13,1.732432406215062074e+05,7.814610088608004079e-11
4.193668506412427064e+02,9.999999999999999799e-13,1.758685554167543596e+05,1.245294465040930535e-10
4.225087092833221050e+02,9.999999999999999799e-13,1.785136094202587847e+05,1.571102184131901809e-10
4.256505639982585194e+02,9.999999999999999799e-13,1.811784026320355770e+05,4.915351971586621493e-11
4.287924148723951134e+02,9.999999999999999799e-13,1.838629350521002198e+05,6.606585873182191102e-11
4.319342619895620032e+02,9.999999999999999799e-13,1.865672066804675851e+05,4.157047662102164058e-11
4.350761054311672069e+02,9.999999999999999799e-13,1.892912175171521085e+05,4.386691869390552823e-11
4.382179452762832739e+02,9.999999999999999799e-13,1.920349675621676142e+05,2.335865236946802959e-10
4.413597816017307878e+02,9.999999999999999799e-13,1.947984568155274901e+05,1.376622246084248774e-10
4.445016144821576063e+02,9.999999999999999799e-13,1.975816852772446873e+05,7.363058243628898745e-12
4.476434439901153723e+02,9.999999999999999799e-13,2.003846529473315459e+05,2.323904601150465726e-10
4.507852701961324442e+02,9.999999999999999799e-13,2.032073598258001148e+05,1.387626031016795266e-10
4.539270931687841539e+02,9.999999999999999799e-13,2.060498059126620356e+05,1.195777432844285463e-10
4.570689129747597690e+02,9.999999999999999799e-13,2.089119912079285132e+05,2.333712322503425205e-10
4.602107296789268389e+02,9.999999999999999799e-13,2.117939157116102870e+05,1.681379246173749267e-10
4.633525433443933252e+02,9.999999999999999799e-13,2.146955794237178925e+05,1.822993174001836406e-10
4.664943540325664344e+02,9.999999999999999799e-13,2.176169823442614579e+05,2.456189233057490696e-10
4.696361618032098590e+02,9.999999999999999799e-13,2.205581244732507039e+05,6.635291399093289620e-11
4.727779667144980635e+02,9.999999999999999799e-13,2.235190058106950601e+05,2.342323980276798704e-10
4.759197688230693188e+02,9.999999999999999799e-13,2.264996263566037233e+05,2.128228599523142960e-10
4.790615681840753268e+02,9.999999999999999799e-13,2.294999861109854537e+05,4.788569232146337902e-11
