index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,9.869604401089356216e+00,9.869604401089393519e+00,-3.730349362740525976e-14,1.001533980789480271e-12,1.070835497241044218e-12,2.072369478030524489e-12,1.000000000000000000e+00
2.000000000000000000e+00,3.947841760435743197e+01,3.947841760435743907e+01,-7.105427357601001859e-15,1.001533980789784203e-12,1.016528282688043729e-12,2.018062263477828135e-12,1.000000000000000000e+00
3.000000000000000000e+00,8.882643960980422548e+01,8.882643960980422548e+01,0.000000000000000000e+00,1.001725728388326235e-12,1.014167099450608944e-12,2.015892827838935380e-12,1.000000000000000000e+00
4.000000000000000000e+00,1.579136704174297563e+02,1.579136704174297563e+02,0.000000000000000000e+00,1.001533980789860338e-12,1.063751947516740087e-12,2.065285928306600425e-12,1.000000000000000000e+00
5.000000000000000000e+00,2.467401100272339534e+02,2.467401100272339818e+02,-2.842170943040400743e-14,1.001917475986840801e-12,1.073196680482479399e-12,2.075114156469320201e-12,1.000000000000000000e+00
6.000000000000000000e+00,3.553057584392168451e+02,3.553057584392168451e+02,0.000000000000000000e+00,1.001725728388360162e-12,1.054307214555000969e-12,2.056032942943361131e-12,1.000000000000000000e+00
7.000000000000000000e+00,4.836106156533786020e+02,4.836106156533786020e+02,0.000000000000000000e+00,1.002013349786091622e-12,1.073196680486479391e-12,2.075210030272571215e-12,1.000000000000000000e+00
8.000000000000000000e+00,6.316546816697190252e+02,6.316546816697189115e+02,1.136868377216160297e-13,1.001533980789879321e-12,1.099169696142262549e-12,2.100703676932141870e-12,1.000000000000000000e+00
9.000000000000000000e+00,7.994379564882381146e+02,7.994379564882381146e+02,0.000000000000000000e+00,1.001725728388366423e-12,1.278619622487309081e-12,2.280345350875675503e-12,1.000000000000000000e+00
1.000000000000000000e+01,9.869604401089359271e+02,9.869604401089358134e+02,1.136868377216160297e-13,1.001917475986852918e-12,1.151115727453828664e-12,2.153033203440681583e-12,1.000000000000000000e+00
1.100000000000000000e+01,1.194222132531812349e+03,1.194222132531812349e+03,0.000000000000000000e+00,1.001581917689503722e-12,1.306953821384526815e-12,2.308535739074030738e-12,1.000000000000000000e+00
1.200000000000000000e+01,1.421223033756867608e+03,1.421223033756867608e+03,0.000000000000000000e+00,1.001725728388368442e-12,1.221951224696873403e-12,2.223676953085241845e-12,1.000000000000000000e+00
1.300000000000000000e+01,1.667963143784101476e+03,1.667963143784101476e+03,0.000000000000000000e+00,1.001869539087233162e-12,1.840581233952796822e-12,2.842450773040029782e-12,1.000000000000000000e+00
1.400000000000000000e+01,1.934442462613514408e+03,1.934442462613514181e+03,2.273736754432320595e-13,1.002013349786097883e-12,1.302231454905657252e-12,2.304244804691755336e-12,1.000000000000000000e+00
1.500000000000000000e+01,2.220660990245105950e+03,2.220660990245105495e+03,4.547473508864641190e-13,1.002157160484962401e-12,2.015308793818973992e-12,3.017465954303936393e-12,1.000000000000000000e+00
1.600000000000000000e+01,2.526618726678875646e+03,2.526618726678875646e+03,0.000000000000000000e+00,1.001533980789883966e-12,1.394317601321615392e-12,2.395851582111499357e-12,1.000000000000000000e+00
1.700000000000000000e+01,2.852315671914825089e+03,2.852315671914825089e+03,0.000000000000000000e+00,1.001629854589127113e-12,1.314037371108831349e-12,2.315667225697958260e-12,1.000000000000000000e+00
1.800000000000000000e+01,3.197751825952952004e+03,3.197751825952952004e+03,0.000000000000000000e+00,1.001725728388370058e-12,1.500570847186182197e-12,2.502296575574552456e-12,1.000000000000000000e+00
1.900000000000000000e+01,3.562927188793258210e+03,3.562927188793258210e+03,0.000000000000000000e+00,1.001821602187613003e-12,1.292786721935917948e-12,2.294608324123530950e-12,1.000000000000000000e+00
2.000000000000000000e+01,3.947841760435743709e+03,3.947841760435743709e+03,0.000000000000000000e+00,1.001917475986855948e-12,2.171146887749671941e-12,3.173064363736527888e-12,1.000000000000000000e+00
2.100000000000000000e+01,4.352495540880406224e+03,4.352495540880406224e+03,0.000000000000000000e+00,1.001510012340074088e-12,4.492190014084105069e-12,5.493700026424179157e-12,1.000000000000000000e+00
2.200000000000000000e+01,4.776888530127249396e+03,4.776888530127250306e+03,-9.094947017729282379e-13,1.001581917689506145e-12,2.218370552578368298e-12,3.219952470267874645e-12,1.000000000000000000e+00
2.300000000000000000e+01,5.221020728176270495e+03,5.221020728176271405e+03,-9.094947017729282379e-13,1.002205097384584783e-12,3.266735911775428897e-12,4.268941009160013477e-12,1.000000000000000000e+00
2.400000000000000000e+01,5.684892135027469521e+03,5.684892135027470431e+03,-9.094947017729282379e-13,1.001725728388370663e-12,1.885443715540058604e-12,2.887169443928429065e-12,1.000000000000000000e+00
2.500000000000000000e+01,6.168502750680849203e+03,6.168502750680850113e+03,-9.094947017729282379e-13,1.001797633737802721e-12,1.155838093932698227e-12,2.157635727670500948e-12,1.000000000000000000e+00
2.600000000000000000e+01,6.671852575136405903e+03,6.671852575136406813e+03,-9.094947017729282379e-13,1.001869539087234980e-12,2.282122500097107897e-12,3.283992039184342877e-12,1.000000000000000000e+00
2.700000000000000000e+01,7.194941608394142349e+03,7.194941608394143259e+03,-9.094947017729282379e-13,1.001294296291777916e-12,3.495770686194607363e-12,4.497064982486385481e-12,1.000000000000000000e+00
2.800000000000000000e+01,7.737769850454056723e+03,7.737769850454057632e+03,-9.094947017729282379e-13,1.002013349786099297e-12,2.206564636375194403e-12,3.208577986161293497e-12,1.000000000000000000e+00
2.900000000000000000e+01,8.300337301316150842e+03,8.300337301316150842e+03,0.000000000000000000e+00,1.002085255135531556e-12,1.002361183239434862e-12,2.004446438374966418e-12,1.000000000000000000e+00
3.000000000000000000e+01,8.882643960980421980e+03,8.882643960980423799e+03,-1.818989403545856476e-12,1.002157160484963613e-12,2.293928416304282390e-12,3.296085576789246003e-12,1.000000000000000000e+00
3.100000000000000000e+01,9.484689829446873773e+03,9.484689829446871954e+03,1.818989403545856476e-12,1.002229065834395872e-12,3.861754088621005138e-12,4.863983154455401010e-12,1.000000000000000000e+00
3.200000000000000000e+01,1.010647490671550258e+04,1.010647490671550258e+04,0.000000000000000000e+00,1.001533980789885177e-12,2.577270405280461943e-12,3.578804386070347322e-12,1.000000000000000000e+00
3.300000000000000000e+01,1.074799919278631023e+04,1.074799919278631023e+04,0.000000000000000000e+00,1.002372876533260189e-12,1.203061758765394779e-12,2.205434635298654766e-12,1.000000000000000000e+00
3.400000000000000000e+01,1.140926268765929854e+04,1.140926268765929672e+04,1.818989403545856476e-12,1.001629854589128122e-12,5.814452629287603897e-12,6.816082483876732019e-12,1.000000000000000000e+00
3.500000000000000000e+01,1.209026539133446568e+04,1.209026539133446386e+04,1.818989403545856476e-12,1.000838895745374684e-12,4.444966349255406288e-12,5.445805245000781174e-12,1.000000000000000000e+00
