index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,1.358863995373630189e+02,1.358863995373629905e+02,2.842170943040400743e-14,1.025613596128002255e-12,1.341689614175973227e-12,2.367303210303975279e-12,1.000000000000000000e+00
2.000000000000000000e+00,2.381246866909452535e+02,2.381246866909452251e+02,2.842170943040400743e-14,1.022604427556028517e-12,1.531517177605958512e-12,2.554121605161987231e-12,1.000000000000000000e+00
3.000000000000000000e+00,3.580798986681781457e+02,3.580798986681782594e+02,-1.136868377216160297e-13,1.025409300683591236e-12,1.797275766403934204e-12,2.822685067087525440e-12,1.000000000000000000e+00
4.000000000000000000e+00,4.970825432941581425e+02,4.970825432941581425e+02,0.000000000000000000e+00,1.021772800801896066e-12,1.227793076113981579e-12,2.249565876915877645e-12,1.000000000000000000e+00
5.000000000000000000e+00,6.555062329915773489e+02,6.555062329915772352e+02,1.136868377216160297e-13,1.025002789019365761e-12,1.379655126861969637e-12,2.404657915881335399e-12,1.000000000000000000e+00
6.000000000000000000e+00,8.334984571976311827e+02,8.334984571976311827e+02,0.000000000000000000e+00,1.021145292980769342e-12,1.075931025369993916e-12,2.097076318350763258e-12,1.000000000000000000e+00
7.000000000000000000e+00,1.031128923943405880e+03,1.031128923943405880e+03,0.000000000000000000e+00,1.023518942560343896e-12,2.176930893267906381e-12,3.200449835828250278e-12,1.000000000000000000e+00
8.000000000000000000e+00,1.248434611153548076e+03,1.248434611153548531e+03,-4.547473508864641190e-13,1.023722237307276291e-12,1.607448202973951140e-12,2.631170440281227431e-12,1.000000000000000000e+00
9.000000000000000000e+00,1.485436804630180404e+03,1.485436804630179950e+03,4.547473508864641190e-13,1.023523782260092164e-12,4.530792679799724241e-12,5.554316462059816809e-12,1.000000000000000000e+00
1.000000000000000000e+01,1.742148534244968687e+03,1.742148534244968914e+03,-2.273736754432320595e-13,1.025475496136711732e-12,5.745689085747605962e-12,6.771164581884317896e-12,1.000000000000000000e+00
1.100000000000000000e+01,2.018578170335562845e+03,2.018578170335563300e+03,-4.547473508864641190e-13,1.021937787930057906e-12,4.492827167109713097e-12,5.514764955039770598e-12,1.000000000000000000e+00
1.200000000000000000e+01,2.314731304017261209e+03,2.314731304017260754e+03,4.547473508864641190e-13,1.020555516474454694e-12,4.227068578311744877e-12,5.247624094786199571e-12,1.000000000000000000e+00
1.300000000000000000e+01,2.630611792695458917e+03,2.630611792695458462e+03,4.547473508864641190e-13,1.021913234289223414e-12,2.860310121615851470e-12,3.882223355905074681e-12,1.000000000000000000e+00
1.400000000000000000e+01,2.966222371258517796e+03,2.966222371258517342e+03,4.547473508864641190e-13,1.023269119704160750e-12,2.632517045499869773e-12,3.655786165204030322e-12,1.000000000000000000e+00
1.500000000000000000e+01,3.321565024574822928e+03,3.321565024574823383e+03,-4.547473508864641190e-13,1.021105842383271953e-12,6.504999339467550334e-12,7.526105181850823095e-12,1.000000000000000000e+00
1.600000000000000000e+01,3.696641222669431954e+03,3.696641222669431954e+03,0.000000000000000000e+00,1.022265628684189892e-12,6.277206263351568638e-12,7.299471892035758531e-12,1.000000000000000000e+00
1.700000000000000000e+01,4.091452073775550616e+03,4.091452073775551071e+03,-4.547473508864641190e-13,1.023424484666851937e-12,6.808723440955524852e-12,7.832147925622376184e-12,1.000000000000000000e+00
1.800000000000000000e+01,4.505998426602292966e+03,4.505998426602294785e+03,-1.818989403545856476e-12,1.022533998865071014e-12,8.706999075255368011e-12,9.729533074120439832e-12,1.000000000000000000e+00
1.900000000000000000e+01,4.940280940272003136e+03,4.940280940272004955e+03,-1.818989403545856476e-12,1.023594923500892558e-12,8.896826638689376108e-12,9.920421562190268060e-12,1.000000000000000000e+00
2.000000000000000000e+01,5.394300133141166043e+03,5.394300133141166043e+03,0.000000000000000000e+00,1.024655300691254715e-12,6.011447674553601227e-12,7.036102975244855941e-12,1.000000000000000000e+00
2.100000000000000000e+01,5.868056417512113512e+03,5.868056417512115331e+03,-1.818989403545856476e-12,1.023377453692992243e-12,1.314896405951699816e-11,1.417234151320999101e-11,1.000000000000000000e+00
2.200000000000000000e+01,6.361550124723976296e+03,6.361550124723975387e+03,9.094947017729282379e-13,1.021906553233780879e-12,1.949137817147923684e-12,2.971044370381704360e-12,1.000000000000000000e+00
2.300000000000000000e+01,6.874781523562182883e+03,6.874781523562182883e+03,0.000000000000000000e+00,1.020242749583522715e-12,1.322489508489303803e-11,1.424513783447656034e-11,1.000000000000000000e+00
2.400000000000000000e+01,7.407750833950422020e+03,7.407750833950422930e+03,-9.094947017729282379e-13,1.026265958158487342e-12,5.290102933515653072e-12,6.316368891674140212e-12,1.000000000000000000e+00
2.500000000000000000e+01,7.960458237261012073e+03,7.960458237261012073e+03,0.000000000000000000e+00,1.021782568387779895e-12,2.442689482065883891e-12,3.464472050453663785e-12,1.000000000000000000e+00
2.600000000000000000e+01,8.532903884167706565e+03,8.532903884167706565e+03,0.000000000000000000e+00,1.022552177389522198e-12,8.023619846907432616e-12,9.046172024296954613e-12,1.000000000000000000e+00
2.700000000000000000e+01,9.125087900689741218e+03,9.125087900689739399e+03,1.818989403545856476e-12,1.023321612786383870e-12,5.252137420833660894e-12,6.275459033620044966e-12,1.000000000000000000e+00
2.800000000000000000e+01,9.737010392888967544e+03,9.737010392888967544e+03,0.000000000000000000e+00,1.024090891343798486e-12,2.025068842523917507e-12,3.049159733867715993e-12,1.000000000000000000e+00
2.900000000000000000e+01,1.036867145055317633e+04,1.036867145055317815e+04,-1.818989403545856476e-12,1.021752524263400316e-12,1.861599788630055402e-11,1.963775041056395575e-11,1.000000000000000000e+00
3.000000000000000000e+01,1.102007115010861344e+04,1.102007115010861526e+04,-1.818989403545856476e-12,1.022425405477982086e-12,4.227068578307739836e-12,5.249493983785721922e-12,1.000000000000000000e+00
3.100000000000000000e+01,1.169120955694100121e+04,1.169120955694100121e+04,0.000000000000000000e+00,1.019798443017998944e-12,4.378930629051727903e-12,5.398729072069726645e-12,1.000000000000000000e+00
3.200000000000000000e+01,1.238208672725868564e+04,1.238208672725868564e+04,0.000000000000000000e+00,1.020375029033583584e-12,1.246558483117308719e-11,1.348595986020667118e-11,1.000000000000000000e+00
3.300000000000000000e+01,1.309270270959845766e+04,1.309270270959846130e+04,-3.637978807091712952e-12,1.024443464368015560e-12,7.985654334221436205e-12,9.010097798589451563e-12,1.000000000000000000e+00
3.400000000000000000e+01,1.382305754605039692e+04,1.382305754605039510e+04,1.818989403545856476e-12,1.025115981997521545e-12,2.860092772272183644e-11,2.962604370471935556e-11,1.000000000000000000e+00
3.500000000000000000e+01,1.457315127326015863e+04,1.457315127326015863e+04,0.000000000000000000e+00,1.022104365442034406e-12,1.652789468857073850e-11,1.754999905401277391e-11,1.000000000000000000e+00
3.600000000000000000e+01,1.534298392325383975e+04,1.534298392325383975e+04,0.000000000000000000e+00,1.022680688316703766e-12,6.694826902901543891e-12,7.717507591218247657e-12,1.000000000000000000e+00
3.700000000000000000e+01,1.613255552412046018e+04,1.613255552412045836e+04,1.818989403545856476e-12,1.023256957525515013e-12,6.087378699925591625e-12,7.110635657451106839e-12,1.000000000000000000e+00
3.800000000000000000e+01,1.694186610057946746e+04,1.694186610057947109e+04,-3.637978807091712952e-12,1.027805373141439664e-12,2.742399682945591539e-11,2.845180220259735606e-11,1.000000000000000000e+00
3.900000000000000000e+01,1.777091567445501641e+04,1.777091567445501641e+04,0.000000000000000000e+00,1.022375237697072559e-12,1.204796419162711698e-11,1.307033942932418954e-11,1.000000000000000000e+00
4.000000000000000000e+01,1.861970426507396405e+04,1.861970426507396405e+04,0.000000000000000000e+00,1.020821233703876312e-12,1.561672238411083129e-11,1.663754361781470841e-11,1.000000000000000000e+00
4.100000000000000000e+01,1.948823188960148764e+04,1.948823188960149491e+04,-7.275957614183425903e-12,1.021301308822190864e-12,1.975496326688047219e-11,2.077626457570266204e-11,1.000000000000000000e+00
4.200000000000000000e+01,2.037649856332517084e+04,2.037649856332516720e+04,3.637978807091712952e-12,1.023959488026271368e-12,1.303506752146303982e-11,1.405902700948931098e-11,1.000000000000000000e+00
4.300000000000000000e+01,2.128450429989635450e+04,2.128450429989635813e+04,-3.637978807091712952e-12,1.022261367516144512e-12,4.033227114269076596e-11,4.135453251020691168e-11,1.000000000000000000e+00
4.400000000000000000e+01,2.221224911153614448e+04,2.221224911153614448e+04,0.000000000000000000e+00,1.025015490466395923e-12,4.948195970002020489e-11,5.050697519048660283e-11,1.000000000000000000e+00
4.500000000000000000e+01,2.315973300921163172e+04,2.315973300921163536e+04,-3.637978807091712952e-12,1.023221316810885191e-12,1.345268816100900518e-11,1.447590947781989058e-11,1.000000000000000000e+00
4.600000000000000000e+01,2.412695600278734491e+04,2.412695600278735219e+04,-7.275957614183425903e-12,1.023701254600727963e-12,4.834299431943612496e-11,4.936669557403685434e-11,1.000000000000000000e+00
4.700000000000000000e+01,2.511391810115575936e+04,2.511391810115576664e+04,-7.275957614183425903e-12,1.024181169775528923e-12,4.454861654423722340e-12,5.479042824199251263e-12,1.000000000000000000e+00
4.800000000000000000e+01,2.612061931235008888e+04,2.612061931235008524e+04,3.637978807091712952e-12,1.022194957293638939e-12,2.810737605779979243e-11,2.912957101509343379e-11,1.000000000000000000e+00
4.900000000000000000e+01,2.714705964364207830e+04,2.714705964364208558e+04,-7.275957614183425903e-12,1.022626843727567220e-12,7.924692164583746832e-11,8.026954848956503150e-11,1.000000000000000000e+00
5.000000000000000000e+01,2.819323910162715038e+04,2.819323910162715038e+04,0.000000000000000000e+00,1.023058713117528242e-12,8.065164561522382685e-11,8.167470432834135873e-11,1.000000000000000000e+00
5.100000000000000000e+01,2.925915769229848229e+04,2.925915769229848956e+04,-7.275957614183425903e-12,1.026100629339752796e-12,7.795826770795454345e-12,8.821927400135207949e-12,1.000000000000000000e+00
5.200000000000000000e+01,3.034481542111189628e+04,3.034481542111188901e+04,7.275957614183425903e-12,1.021264359526507565e-12,7.810795626526198331e-11,7.912922062478849451e-11,1.000000000000000000e+00
5.300000000000000000e+01,3.145021229304266308e+04,3.145021229304265944e+04,3.637978807091712952e-12,1.021648202767110358e-12,7.226344080505500105e-12,8.247992283272609858e-12,1.000000000000000000e+00
5.400000000000000000e+01,3.257534831263547676e+04,3.257534831263548404e+04,-7.275957614183425903e-12,1.024786038098179066e-12,3.809447938761772855e-12,4.834233976859951921e-12,1.000000000000000000e+00
5.500000000000000000e+01,3.372022348404844524e+04,3.372022348404843797e+04,7.275957614183425903e-12,1.022415853446121903e-12,5.024344344717677582e-12,6.046760198163799687e-12,1.000000000000000000e+00
5.600000000000000000e+01,3.488483781109185657e+04,3.488483781109185657e+04,0.000000000000000000e+00,1.025649619853894094e-12,1.899565301316456679e-11,2.002130263301846007e-11,1.000000000000000000e+00
5.700000000000000000e+01,3.606919129726260871e+04,3.606919129726260871e+04,0.000000000000000000e+00,1.023183460348812276e-12,2.844906567197781202e-11,2.947224913232662430e-11,1.000000000000000000e+00
5.800000000000000000e+01,3.727328394577460858e+04,3.727328394577460131e+04,7.275957614183425903e-12,1.023567248723478236e-12,3.414389257487735765e-11,3.516745982360083326e-11,1.000000000000000000e+00
5.900000000000000000e+01,3.849711575958583853e+04,3.849711575958583126e+04,7.275957614183425903e-12,1.020957149231199935e-12,2.594551532809871957e-12,3.615508682041071893e-12,1.000000000000000000e+00
6.000000000000000000e+01,3.974068674142245436e+04,3.974068674142245436e+04,0.000000000000000000e+00,1.024334797701757309e-12,1.406013636398094433e-11,1.508447116168270043e-11,1.000000000000000000e+00
6.100000000000000000e+01,4.100399689380024938e+04,4.100399689380026393e+04,-1.455191522836685181e-11,1.024718559169284035e-12,6.664237143408663408e-11,6.766708999325591670e-11,1.000000000000000000e+00
6.200000000000000000e+01,4.228704621904387750e+04,4.228704621904387750e+04,0.000000000000000000e+00,1.025102312487538841e-12,2.582944529664401767e-11,2.685454760913155489e-11,1.000000000000000000e+00
6.300000000000000000e+01,4.358983471930395899e+04,4.358983471930395899e+04,0.000000000000000000e+00,1.025486058025270404e-12,3.273916860549143856e-11,3.376465466351671139e-11,1.000000000000000000e+00
6.400000000000000000e+01,4.491236239657255646e+04,4.491236239657256374e+04,-7.275957614183425903e-12,1.022636071613383156e-12,7.681712883393377557e-11,7.783976490554715348e-11,1.000000000000000000e+00
