index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,8.753122025713413734e+01,8.753122025713413734e+01,0.000000000000000000e+00,1.041114408692945777e-12,1.071763814775746984e-12,2.112878223468692761e-12,1.000000000000000000e+00
2.000000000000000000e+00,1.681309047214674877e+02,1.681309047214674592e+02,2.842170943040400743e-14,1.039570709757697743e-12,1.023921271590582317e-12,2.063491981348280061e-12,1.000000000000000000e+00
3.000000000000000000e+00,2.674765273874629656e+02,2.674765273874629088e+02,5.684341886080801487e-14,1.039928490332393168e-12,1.669795604594306826e-12,2.709724094926699994e-12,1.000000000000000000e+00
4.000000000000000000e+00,3.862463875373185260e+02,3.862463875373184692e+02,5.684341886080801487e-14,1.038385062700833191e-12,1.119606357964911643e-12,2.157991420665745035e-12,1.000000000000000000e+00
5.000000000000000000e+00,5.246184403823867797e+02,5.246184403823868934e+02,-1.136868377216160297e-13,1.041939484830898602e-12,1.047842543183164550e-12,2.089782028014063152e-12,1.000000000000000000e+00
6.000000000000000000e+00,6.826593272332875131e+02,6.826593272332875131e+02,0.000000000000000000e+00,1.041462494116228877e-12,1.741559419368051310e-12,2.783021913484280188e-12,1.000000000000000000e+00
7.000000000000000000e+00,8.603992274265946207e+02,8.603992274265946207e+02,0.000000000000000000e+00,1.039386985886313962e-12,1.430582888668482078e-12,2.469969874554796041e-12,1.000000000000000000e+00
8.000000000000000000e+00,1.057853591936779139e+03,1.057853591936779139e+03,0.000000000000000000e+00,1.039702955676521490e-12,2.578803925112435698e-12,3.618506880788957188e-12,1.000000000000000000e+00
9.000000000000000000e+00,1.275031051858802812e+03,1.275031051858802812e+03,0.000000000000000000e+00,1.039229515697491020e-12,3.487812245626558317e-12,4.527041761324049539e-12,1.000000000000000000e+00
1.000000000000000000e+01,1.511936756280644886e+03,1.511936756280644886e+03,0.000000000000000000e+00,1.040345564347869151e-12,1.478425431853646543e-12,2.518770996201515896e-12,1.000000000000000000e+00
1.100000000000000000e+01,1.768573939823438423e+03,1.768573939823438423e+03,0.000000000000000000e+00,1.038501968153383859e-12,1.669795604594305614e-12,2.708297572747689676e-12,1.000000000000000000e+00
1.200000000000000000e+01,2.044944721174416600e+03,2.044944721174416827e+03,-2.273736754432320595e-13,1.041401121537567993e-12,1.071763814779746976e-12,2.113164936317314969e-12,1.000000000000000000e+00
1.300000000000000000e+01,2.341050536940840630e+03,2.341050536940840175e+03,4.547473508864641190e-13,1.041344095097678989e-12,2.339591209182609544e-12,3.380935304280288533e-12,1.000000000000000000e+00
1.400000000000000000e+01,2.656892390073145179e+03,2.656892390073144725e+03,4.547473508864641190e-13,1.040898783971333582e-12,5.186222528703914382e-12,6.227121312675247761e-12,1.000000000000000000e+00
1.500000000000000000e+01,2.992470998468797461e+03,2.992470998468797461e+03,0.000000000000000000e+00,1.041735445030442829e-12,1.741559419368052118e-12,2.783294864398494947e-12,1.000000000000000000e+00
1.600000000000000000e+01,3.347786887221601773e+03,3.347786887221600864e+03,9.094947017729282379e-13,1.038846477828002626e-12,6.812868996999514265e-12,7.851715474827516488e-12,1.000000000000000000e+00
1.700000000000000000e+01,3.722840447741528806e+03,3.722840447741529260e+03,-4.547473508864641190e-13,1.040964716890141278e-12,1.382740345483317209e-12,2.423705062373458286e-12,1.000000000000000000e+00
1.800000000000000000e+01,4.117631976707652029e+03,4.117631976707652029e+03,0.000000000000000000e+00,1.039165513474266430e-12,6.980317898143573947e-12,8.019483411617839771e-12,1.000000000000000000e+00
1.900000000000000000e+01,4.532161702366193822e+03,4.532161702366194731e+03,-9.094947017729282379e-13,1.041089679996960896e-12,2.196063579631117151e-12,3.237153259628078249e-12,1.000000000000000000e+00
2.000000000000000000e+01,4.966429802672347250e+03,4.966429802672345431e+03,1.818989403545856476e-12,1.038711920823791496e-12,8.630885638035773624e-12,9.669597558859565726e-12,1.000000000000000000e+00
2.100000000000000000e+01,5.420436418048969244e+03,5.420436418048969244e+03,0.000000000000000000e+00,1.040442658610558066e-12,4.420741837741275673e-12,5.461184496351833941e-12,1.000000000000000000e+00
2.200000000000000000e+01,5.894181660516265765e+03,5.894181660516264856e+03,9.094947017729282379e-13,1.039830040209916635e-12,2.913701727404585546e-12,3.953531767614502383e-12,1.000000000000000000e+00
2.300000000000000000e+01,6.387665620327715260e+03,6.387665620327714350e+03,9.094947017729282379e-13,1.039024840308838703e-12,5.568962874181221021e-12,6.607987714490059926e-12,1.000000000000000000e+00
2.400000000000000000e+01,6.900888370862560805e+03,6.900888370862563534e+03,-2.728484105318784714e-12,1.038027154156026959e-12,1.178849348825261357e-11,1.282652064240864094e-11,1.000000000000000000e+00
2.500000000000000000e+01,7.433849972280046131e+03,7.433849972280047041e+03,-9.094947017729282379e-13,1.042099500564893158e-12,7.386979515217476341e-12,8.429079015782368691e-12,1.000000000000000000e+00
2.600000000000000000e+01,7.986550474281457355e+03,7.986550474281459174e+03,-1.818989403545856476e-12,1.038181916284458959e-12,1.169280840188228787e-11,1.273099031816674643e-11,1.000000000000000000e+00
2.700000000000000000e+01,8.558989918220857362e+03,8.558989918220857362e+03,0.000000000000000000e+00,1.039526590839586388e-12,1.176457221666406021e-11,1.280409880750364741e-11,1.000000000000000000e+00
2.800000000000000000e+01,9.151168338734441932e+03,9.151168338734443751e+03,-1.818989403545856476e-12,1.040871104378588096e-12,4.923088541181500341e-12,5.963959645560088033e-12,1.000000000000000000e+00
2.900000000000000000e+01,9.763085765010189789e+03,9.763085765010187970e+03,1.818989403545856476e-12,1.042215472349098373e-12,1.142967441436790330e-11,1.247188988671700168e-11,1.000000000000000000e+00
3.000000000000000000e+01,1.039474222178582750e+04,1.039474222178582750e+04,0.000000000000000000e+00,1.040448300546636636e-12,4.468584380926439331e-12,5.509032681473076370e-12,1.000000000000000000e+00
3.100000000000000000e+01,1.104613773013969876e+04,1.104613773013969512e+04,3.637978807091712952e-12,1.040092700066955391e-12,1.111869788366433226e-11,1.215879058373128765e-11,1.000000000000000000e+00
3.200000000000000000e+01,1.171727230812219204e+04,1.171727230812219204e+04,0.000000000000000000e+00,1.039640997349944319e-12,1.552021185669949049e-11,1.655985285404943320e-11,1.000000000000000000e+00
3.300000000000000000e+01,1.240814597126356784e+04,1.240814597126357148e+04,-3.637978807091712952e-12,1.039093211795076323e-12,2.085465542184130027e-11,2.189374863363637598e-11,1.000000000000000000e+00
3.400000000000000000e+01,1.311875873298500483e+04,1.311875873298500665e+04,-1.818989403545856476e-12,1.038449360662931943e-12,5.066616170736995352e-12,6.105065531399927295e-12,1.000000000000000000e+00
3.500000000000000000e+01,1.384911060493346122e+04,1.384911060493346122e+04,0.000000000000000000e+00,1.037709459362423481e-12,6.238758478777533417e-12,7.276467938139956696e-12,1.000000000000000000e+00
3.600000000000000000e+01,1.459920159725606936e+04,1.459920159725607300e+04,-3.637978807091712952e-12,1.038717197777435810e-12,1.437199082025151245e-11,1.541070801802894745e-11,1.000000000000000000e+00
3.700000000000000000e+01,1.536903171882623610e+04,1.536903171882623792e+04,-1.818989403545856476e-12,1.041616543214484142e-12,1.482649498051057284e-11,1.586811152372505658e-11,1.000000000000000000e+00
3.800000000000000000e+01,1.615860097743091319e+04,1.615860097743091319e+04,0.000000000000000000e+00,1.040732516528227801e-12,7.147766799291654017e-12,8.188499315819881818e-12,1.000000000000000000e+00
3.900000000000000000e+01,1.696790937992650652e+04,1.696790937992650652e+04,0.000000000000000000e+00,1.039752480490083455e-12,1.920408768195313552e-11,2.024384016244321776e-11,1.000000000000000000e+00
4.000000000000000000e+01,1.779695693236926309e+04,1.779695693236926672e+04,-3.637978807091712952e-12,1.040712047052687913e-12,2.288796350721485524e-11,2.392867555426754235e-11,1.000000000000000000e+00
4.100000000000000000e+01,1.864574364012488149e+04,1.864574364012488149e+04,0.000000000000000000e+00,1.039587996642671069e-12,1.743391358410204305e-11,1.847350158074471573e-11,1.000000000000000000e+00
