index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
2.500000000000000000e+01,5.924230041753889054e+03,5.924230041753889054e+03,0.000000000000000000e+00,3.000682458376941159e-12,1.906238099454000088e-12,4.906920557830941651e-12,1.000000000000000000e+00
2.600000000000000000e+01,6.417710261808358155e+03,6.417710261808356336e+03,1.818989403545856476e-12,3.000748371613921605e-12,2.492501135358000034e-12,5.493249506971921235e-12,1.000000000000000000e+00
2.700000000000000000e+01,6.930929690665005182e+03,6.930929690665000635e+03,4.547473508864641190e-12,3.000448765991287326e-12,3.610803245058000727e-12,6.611252011049288053e-12,1.000000000000000000e+00
2.800000000000000000e+01,7.463888328323828318e+03,7.463888328323826499e+03,1.818989403545856476e-12,3.000796308513542573e-12,3.115808264194000903e-12,6.116604572707543475e-12,1.000000000000000000e+00
2.900000000000000000e+01,8.016586174784833020e+03,8.016586174784830291e+03,2.728484105318784714e-12,3.000802300625996002e-12,2.578400481282000413e-12,5.579202781907996415e-12,1.000000000000000000e+00
3.000000000000000000e+01,8.589023230048014739e+03,8.589023230048014739e+03,0.000000000000000000e+00,3.000652497814678054e-12,2.635845668862000220e-12,5.636498166676678275e-12,1.000000000000000000e+00
3.100000000000000000e+01,9.181199494113376204e+03,9.181199494113378023e+03,-1.818989403545856476e-12,3.000850237525616969e-12,3.347736498173999232e-12,6.348586735699616201e-12,1.000000000000000000e+00
3.200000000000000000e+01,9.793114966980916506e+03,9.793114966980916506e+03,0.000000000000000000e+00,3.001143851035797819e-12,1.292057776125999990e-12,4.293201627161797405e-12,1.000000000000000000e+00
3.300000000000000000e+01,1.042476964865063746e+04,1.042476964865063565e+04,1.818989403545856476e-12,3.000406821204118172e-12,2.001264250877999639e-12,5.001671072082117811e-12,1.000000000000000000e+00
3.400000000000000000e+01,1.107616353912253544e+04,1.107616353912253362e+04,1.818989403545856476e-12,3.000934127099954470e-12,2.753957269502000426e-12,5.754891396601954896e-12,1.000000000000000000e+00
3.500000000000000000e+01,1.174729663839661225e+04,1.174729663839661043e+04,1.818989403545856476e-12,3.000298963179970187e-12,3.549599961085999083e-12,6.549898924265969270e-12,1.000000000000000000e+00
3.600000000000000000e+01,1.243816894647286790e+04,1.243816894647286426e+04,3.637978807091712952e-12,3.000418805429024221e-12,1.219043332094000014e-12,4.219462137523024033e-12,1.000000000000000000e+00
3.700000000000000000e+01,1.314878046335129875e+04,1.314878046335129875e+04,0.000000000000000000e+00,3.000778332176184710e-12,2.011464798205999881e-12,5.012243130382184591e-12,1.000000000000000000e+00
3.800000000000000000e+01,1.387913118903191025e+04,1.387913118903191207e+04,-1.818989403545856476e-12,3.000766347951279468e-12,2.847909679101999506e-12,5.848676027053278974e-12,1.000000000000000000e+00
3.900000000000000000e+01,1.462922112351470241e+04,1.462922112351470059e+04,1.818989403545856476e-12,3.000829265132032392e-12,1.709743345665999962e-12,4.710572610798031950e-12,1.000000000000000000e+00
4.000000000000000000e+01,1.539905026679967523e+04,1.539905026679967159e+04,3.637978807091712952e-12,3.000727399220337836e-12,1.122406567933999956e-12,4.123133967154337994e-12,1.000000000000000000e+00
4.100000000000000000e+01,1.618861861888682324e+04,1.618861861888681960e+04,3.637978807091712952e-12,3.000415809372797507e-12,3.617782566913999957e-12,6.618198376286797464e-12,1.000000000000000000e+00
4.200000000000000000e+01,1.699792617977614645e+04,1.699792617977614645e+04,0.000000000000000000e+00,3.000820276963353864e-12,2.917166026750000254e-12,5.917986303713354118e-12,1.000000000000000000e+00
4.300000000000000000e+01,1.782697294946765032e+04,1.782697294946765396e+04,-3.637978807091712952e-12,3.000391840922987023e-12,1.915364904962000051e-12,4.915756745884987075e-12,1.000000000000000000e+00
4.400000000000000000e+01,1.867575892796134576e+04,1.867575892796133849e+04,7.275957614183425903e-12,3.000541643734304163e-12,4.883187306497998862e-12,7.883728950232303832e-12,1.000000000000000000e+00
4.500000000000000000e+01,1.954428411525720730e+04,1.954428411525720730e+04,0.000000000000000000e+00,3.000667478095810011e-12,1.959925190653999850e-12,4.960592668749809861e-12,1.000000000000000000e+00
4.600000000000000000e+01,2.043254851135524950e+04,2.043254851135523859e+04,1.091393642127513885e-11,3.000640513589773620e-12,3.100239007746000321e-12,6.100879521335773941e-12,1.000000000000000000e+00
4.700000000000000000e+01,2.134055211625546872e+04,2.134055211625546508e+04,3.637978807091712952e-12,3.000865217806748925e-12,4.008087719933999828e-12,7.008952937740748754e-12,1.000000000000000000e+00
4.800000000000000000e+01,2.226829492995786495e+04,2.226829492995786131e+04,3.637978807091712952e-12,3.000631525421094285e-12,1.144955146241999961e-12,4.145586671663094448e-12,1.000000000000000000e+00
4.900000000000000000e+01,2.321577695246244548e+04,2.321577695246244548e+04,0.000000000000000000e+00,3.000610553027509708e-12,6.227512070141998124e-12,9.228122623169508640e-12,1.000000000000000000e+00
5.000000000000000000e+01,2.418299818376920666e+04,2.418299818376920302e+04,3.637978807091712952e-12,3.000631525421094285e-12,2.983201148925999990e-12,5.983832674347094275e-12,1.000000000000000000e+00
5.100000000000000000e+01,2.516995862387814122e+04,2.516995862387813395e+04,7.275957614183425903e-12,3.000499698947135816e-12,2.398548725761999936e-12,5.399048424709135752e-12,1.000000000000000000e+00
5.200000000000000000e+01,2.617665827278926008e+04,2.617665827278925281e+04,7.275957614183425903e-12,3.000304955292423616e-12,5.282619265021998099e-12,8.282924220314422522e-12,1.000000000000000000e+00
5.300000000000000000e+01,2.720309713050254504e+04,2.720309713050254140e+04,3.637978807091712952e-12,3.000766347951279468e-12,1.809601335294000030e-12,4.810367683245279498e-12,1.000000000000000000e+00
5.400000000000000000e+01,2.824927519701801430e+04,2.824927519701801793e+04,-3.637978807091712952e-12,3.000727399220337028e-12,3.799244935170000133e-12,6.799972334390337161e-12,1.000000000000000000e+00
5.500000000000000000e+01,2.931519247233566421e+04,2.931519247233566784e+04,-3.637978807091712952e-12,3.000568608240340553e-12,4.189013217278000374e-12,7.189581825518340927e-12,1.000000000000000000e+00
5.600000000000000000e+01,3.040084895645549841e+04,3.040084895645550205e+04,-3.637978807091712952e-12,3.000361880360723919e-12,1.039899905638199880e-11,1.339936093674272272e-11,1.000000000000000000e+00
5.700000000000000000e+01,3.150624464937750599e+04,3.150624464937750236e+04,3.637978807091712952e-12,3.000517675284493679e-12,5.348117516290000822e-12,8.348635191574494501e-12,1.000000000000000000e+00
5.800000000000000000e+01,3.263137955110169059e+04,3.263137955110169787e+04,-7.275957614183425903e-12,3.000436781766382084e-12,2.949378281469999869e-12,5.949815063236381953e-12,1.000000000000000000e+00
5.900000000000000000e+01,3.377625366162806313e+04,3.377625366162805585e+04,7.275957614183425903e-12,3.000523667396946300e-12,2.979443052546000350e-12,5.979966719942946650e-12,1.000000000000000000e+00
6.000000000000000000e+01,3.494086698095660540e+04,3.494086698095660540e+04,0.000000000000000000e+00,3.000850237525617777e-12,5.581656363005999657e-12,8.582506600531617434e-12,1.000000000000000000e+00
6.100000000000000000e+01,3.612521950908732833e+04,3.612521950908732833e+04,0.000000000000000000e+00,3.000763351895053561e-12,1.559956361213999982e-12,4.560719713109053543e-12,1.000000000000000000e+00
6.200000000000000000e+01,3.732931124602023920e+04,3.732931124602023192e+04,7.275957614183425903e-12,3.000667478095810011e-12,8.386806878205997462e-12,1.138747435630180747e-11,1.000000000000000000e+00
6.300000000000000000e+01,3.855314219175530889e+04,3.855314219175530889e+04,0.000000000000000000e+00,3.000242038111669884e-12,4.272765079549999212e-12,7.273007117661669096e-12,1.000000000000000000e+00
6.400000000000000000e+01,3.979671234629256651e+04,3.979671234629257378e+04,-7.275957614183425903e-12,3.000664482039584104e-12,1.136375608524599806e-11,1.436442056728558217e-11,1.000000000000000000e+00
