index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,2.019072855642662390e+01,2.019072855642667008e+01,-4.618527782440651208e-14,1.010970237932645367e-12,1.117692062124788810e-12,2.128662300057434177e-12,1.000000000000000000e+00
2.000000000000000000e+00,5.967951594410941141e+01,5.967951594410941851e+01,-7.105427357601001859e-15,1.011316286868614668e-12,1.017307656197116072e-12,2.028623943065730942e-12,1.000000000000000000e+00
3.000000000000000000e+00,1.188998691636264624e+02,1.188998691636264624e+02,0.000000000000000000e+00,1.011979625844591069e-12,1.051922968587348263e-12,2.063902594431939131e-12,1.000000000000000000e+00
4.000000000000000000e+00,1.978578111933771879e+02,1.978578111933771879e+02,0.000000000000000000e+00,1.011160920461092396e-12,1.058846031065394742e-12,2.070006951526487340e-12,1.000000000000000000e+00
5.000000000000000000e+00,2.965544121357313543e+02,2.965544121357313543e+02,0.000000000000000000e+00,1.010510714885673210e-12,1.121153593363812655e-12,2.131664308249485865e-12,1.000000000000000000e+00
6.000000000000000000e+00,4.149899842590782555e+02,4.149899842590781986e+02,5.684341886080801487e-14,1.012433656589376543e-12,1.179999624431207514e-12,2.192433281020584057e-12,1.000000000000000000e+00
7.000000000000000000e+00,5.531646458380886315e+02,5.531646458380885178e+02,1.136868377216160297e-13,1.011484107663386302e-12,1.093461343455626934e-12,2.104945451119013438e-12,1.000000000000000000e+00
8.000000000000000000e+00,7.110784497339415111e+02,7.110784497339413974e+02,1.136868377216160297e-13,1.010579184121682960e-12,1.301153217797020084e-12,2.311732401918703246e-12,1.000000000000000000e+00
9.000000000000000000e+00,8.887314224691706386e+02,8.887314224691704112e+02,2.273736754432320595e-13,1.011827111334725761e-12,1.096922874694650173e-12,2.108749986029376136e-12,1.000000000000000000e+00
1.000000000000000000e+01,1.086123578544131078e+03,1.086123578544131306e+03,-2.273736754432320595e-13,1.012068990124893661e-12,2.204612871178078903e-12,3.216681861302972564e-12,1.000000000000000000e+00
1.100000000000000000e+01,1.303254926431106924e+03,1.303254926431106924e+03,0.000000000000000000e+00,1.011017035595043009e-12,1.737306153913945821e-12,2.748323189508988628e-12,1.000000000000000000e+00
1.200000000000000000e+01,1.540125471349991358e+03,1.540125471349991585e+03,-2.273736754432320595e-13,1.011976450303534962e-12,1.138461249558928650e-12,2.150437699862463612e-12,1.000000000000000000e+00
1.300000000000000000e+01,1.796735216659421894e+03,1.796735216659422349e+03,-4.547473508864641190e-13,1.011642188172844149e-12,1.353076186378368077e-12,2.364718374551212024e-12,1.000000000000000000e+00
1.400000000000000000e+01,2.073084164600033546e+03,2.073084164600034001e+03,-4.547473508864641190e-13,1.011115999513137516e-12,2.235766652329288461e-12,3.246882651842425977e-12,1.000000000000000000e+00
1.500000000000000000e+01,2.369172316713099463e+03,2.369172316713099463e+03,0.000000000000000000e+00,1.011883335992131971e-12,2.869226869070536822e-12,3.881110205062668389e-12,1.000000000000000000e+00
