x,y,v0_first,sigma_v0
1.051283540809399852e+01,9.999999999999999799e-13,1.105197083176749118e+02,1.000000000001855280e-12
1.420739245884245960e+01,9.999999999999999799e-13,2.018500004795735947e+02,1.000000000001920711e-12
1.764797487016589628e+01,9.999999999999999799e-13,3.114510170180070077e+02,1.002154293809341910e-12
2.098346306894476854e+01,9.999999999999999799e-13,4.403057223657689860e+02,1.000000000001963726e-12
2.426276804239700624e+01,9.999999999999999799e-13,5.886819130791615180e+02,1.000000000001972814e-12
2.750786836490425102e+01,9.999999999999999799e-13,7.566828219809001439e+02,1.000000000001978872e-12
3.073038073164664752e+01,9.999999999999999799e-13,9.443562999119595816e+02,1.001875633587594913e-12
3.393710830264129896e+01,9.999999999999999799e-13,1.151727319945204954e+03,1.000000000001986142e-12
3.713233172486014411e+01,9.999999999999999799e-13,1.378810059325055136e+03,1.000000000001988364e-12
4.031889250922640144e+01,9.999999999999999799e-13,1.625613093170552702e+03,1.000000000001990181e-12
4.349875714134751092e+01,9.999999999999999799e-13,1.892141872841930990e+03,1.000000000001991595e-12
4.667333292495166575e+01,9.999999999999999799e-13,2.178400006323377056e+03,1.000000000001992605e-12
4.984365518881610768e+01,9.999999999999999799e-13,2.484389962581594773e+03,1.003042215284514105e-12
5.301050348165528447e+01,9.999999999999999799e-13,2.810113479378587272e+03,1.000000000001994220e-12
5.617447649654609876e+01,9.999999999999999799e-13,3.155571809661009866e+03,1.003428617952223585e-12
5.933604196347924642e+01,9.999999999999999799e-13,3.520765875891770065e+03,1.000000000001995432e-12
6.249557080117744334e+01,9.999999999999999799e-13,3.905696369764982592e+03,1.001907213462395487e-12
6.565336105939394429e+01,9.999999999999999799e-13,4.310363818395145245e+03,1.002003581577295152e-12
6.880965505877053090e+01,9.999999999999999799e-13,4.734768629306984622e+03,1.002099904022013746e-12
7.196465189011591690e+01,9.999999999999999799e-13,5.178911121665563769e+03,1.002196186884298058e-12
7.511851668108164404e+01,9.999999999999999799e-13,5.642791548365940798e+03,1.002292435203446077e-12
7.827138756866163760e+01,9.999999999999999799e-13,6.126410111923639306e+03,1.000000000001997451e-12
8.142338101602965139e+01,9.999999999999999799e-13,6.629766976081537905e+03,1.000000000001997653e-12
8.457459591630585294e+01,9.999999999999999799e-13,7.152862274406419601e+03,1.002581011836268473e-12
8.772511679523209693e+01,9.999999999999999799e-13,7.695696116737111879e+03,1.000000000001997855e-12
9.087501633605215545e+01,9.999999999999999799e-13,8.258268594077746457e+03,1.000000000001998057e-12
9.402435738866290649e+01,9.999999999999999799e-13,8.840579782351009271e+03,1.000000000001998259e-12
9.717319458217660610e+01,9.999999999999999799e-13,9.442629745305555844e+03,1.000000000001998259e-12
1.003215756295174970e+02,9.999999999999999799e-13,1.006441853678899861e+04,1.000000000001998461e-12
1.034695423906961196e+02,9.999999999999999799e-13,1.070594620254006077e+04,1.003157639841467594e-12
1.066171317453854641e+02,9.999999999999999799e-13,1.136721278161287955e+04,1.003253696649501805e-12
1.097643763136174897e+02,9.999999999999999799e-13,1.204821830751743255e+04,1.000000000001998663e-12
1.129113050546266379e+02,9.999999999999999799e-13,1.274896280913895498e+04,1.003445779575199092e-12
1.160579437672583651e+02,9.999999999999999799e-13,1.346944631148410372e+04,1.003541807363945325e-12
1.192043155103463192e+02,9.999999999999999799e-13,1.420966883629019139e+04,1.000000000001998865e-12
1.223504409576260343e+02,9.999999999999999799e-13,1.496963040252553401e+04,1.000000000001998865e-12
1.254963386987946166e+02,9.999999999999999799e-13,1.574933102680257616e+04,1.000000000001998865e-12
1.286420254960283671e+02,9.999999999999999799e-13,1.654877072372081238e+04,1.000000000001999067e-12
1.317875165034715792e+02,9.999999999999999799e-13,1.736794950615279231e+04,1.000000000001999067e-12
1.349328254557941307e+02,9.999999999999999799e-13,1.820686738548380526e+04,1.000000000001999067e-12
1.380779648307923821e+02,9.999999999999999799e-13,1.906552437181353525e+04,1.002106902541531502e-12
1.412229459901137147e+02,9.999999999999999799e-13,1.994392047412657485e+04,1.002154891145647210e-12
