x,y,v0_first,sigma_v0
6.987932000500520324e+00,4.999999999999999899e-13,4.883119364361920844e+01,1.000000001309754716e-10
1.041711854737936527e+01,4.999999999999999899e-13,1.085163588301551840e+02,1.000000002021274671e-10
1.369802315324924891e+01,4.999999999999999899e-13,1.876358383069525075e+02,1.000000000559198429e-10
1.692362128521383724e+01,4.999999999999999899e-13,2.864089574053429033e+02,1.000000001920521746e-10
2.012180617445381969e+01,4.999999999999999899e-13,4.048870837222877981e+02,1.000000001206657639e-10
2.330424698893964930e+01,4.999999999999999899e-13,5.430879277215027514e+02,1.000000001618528185e-10
2.647676366453912777e+01,4.999999999999999899e-13,7.010190141478594796e+02,1.000000001175174757e-10
2.964260454031580849e+01,4.999999999999999899e-13,8.786840039335514803e+02,1.000000001473008892e-10
3.280373238519610624e+01,4.999999999999999899e-13,1.076084858399563927e+03,1.000000001803927924e-10
3.596140580470903103e+01,4.999999999999999899e-13,1.293222707450960570e+03,1.000000000963525993e-10
3.911647019027153505e+01,4.999999999999999899e-13,1.530098240146401395e+03,1.000000001140012085e-10
4.226951497778116362e+01,4.999999999999999899e-13,1.786711896456866043e+03,1.000000001331204156e-10
4.542096397225621018e+01,4.999999999999999899e-13,2.063063968168996325e+03,1.000000001537102464e-10
4.857112985163177399e+01,4.999999999999999899e-13,2.359154655064075541e+03,1.000000000988710282e-10
5.172024843038786912e+01,4.999999999999999899e-13,2.674984097701038991e+03,1.000000001993018439e-10
5.486850095750077827e+01,4.999999999999999899e-13,3.010552397323263904e+03,1.000000002243036364e-10
5.801602906410052896e+01,4.999999999999999899e-13,3.365859628366557445e+03,1.000000002507760915e-10
6.116294504481404459e+01,4.999999999999999899e-13,3.740905846554943309e+03,1.000000001567795518e-10
6.430933909067049115e+01,4.999999999999999899e-13,4.135691094278839955e+03,1.000000001733248184e-10
6.745528447980281328e+01,4.999999999999999899e-13,4.550215404251126529e+03,1.000000001906973303e-10
7.060084136923653375e+01,4.999999999999999899e-13,4.984478802044100121e+03,1.000000000928431563e-10
7.374605960919264191e+01,4.999999999999999899e-13,5.438481307882593683e+03,1.000000001582806520e-10
7.689098086207911820e+01,4.999999999999999899e-13,5.912222937932618152e+03,1.000000001101237347e-10
8.003564021885212298e+01,4.999999999999999899e-13,6.405703705241539865e+03,1.000000001864305259e-10
8.318006744667570729e+01,4.999999999999999899e-13,6.918923620433520227e+03,1.000000002013671847e-10
8.632428796248731828e+01,4.999999999999999899e-13,7.451882692230433349e+03,1.000000002168783334e-10
8.946832360029232234e+01,4.999999999999999899e-13,8.004580927846624036e+03,1.000000000838670317e-10
9.261219322147185551e+01,4.999999999999999899e-13,8.577018333291236559e+03,1.000000001597594183e-10
9.575591320436612364e+01,4.999999999999999899e-13,9.169194913602097586e+03,1.000000001707895745e-10
9.889949784012185319e+01,4.999999999999999899e-13,9.781110673028268138e+03,1.000000001821873866e-10
1.020429596551069267e+02,4.999999999999999899e-13,1.041276561517378104e+04,1.000000001090984961e-10
1.051863096753171476e+02,4.999999999999999899e-13,1.106415974311171885e+04,1.000000001159233953e-10
1.083295576446031845e+02,4.999999999999999899e-13,1.173529305947540342e+04,1.000000002185868749e-10
1.114727122058661024e+02,4.999999999999999899e-13,1.242616556653184853e+04,1.000000001301936567e-10
1.146157810523543930e+02,4.999999999999999899e-13,1.313677726624124080e+04,1.000000002446915447e-10
1.177587710546670365e+02,4.999999999999999899e-13,1.386712816030548674e+04,1.000000001452911634e-10
1.209016883678966821e+02,4.999999999999999899e-13,1.461721825020800316e+04,1.000000001531501418e-10
1.240445385224458335e+02,4.999999999999999899e-13,1.538704753724654802e+04,1.000000000716515257e-10
1.271873265013476697e+02,4.999999999999999899e-13,1.617661602256041442e+04,1.000000001694885486e-10
1.303300568063757225e+02,4.999999999999999899e-13,1.698592370715312063e+04,1.000000003163874890e-10
1.334727335147945269e+02,4.999999999999999899e-13,1.781497059191135122e+04,1.000000001866542007e-10
1.366153603282623124e+02,4.999999999999999899e-13,1.866375667762094599e+04,1.000000001955472582e-10
1.397579406151232888e+02,4.999999999999999899e-13,1.953228196498032776e+04,1.000000002046471238e-10
1.429004774471097790e+02,4.999999999999999899e-13,2.042054645461192922e+04,1.000000000950905801e-10
1.460429736312977127e+02,4.999999999999999899e-13,2.132855014707191731e+04,1.000000002234673051e-10
1.491854317380168311e+02,4.999999999999999899e-13,2.225629304285847684e+04,1.000000001619358468e-10
1.523278541253006892e+02,4.999999999999999899e-13,2.320377514241888275e+04,1.000000001080510011e-10
1.554702429603674432e+02,4.999999999999999899e-13,2.417099644615568468e+04,1.000000001125549737e-10
1.586126002385432230e+02,4.999999999999999899e-13,2.515795695443192017e+04,1.000000001171508667e-10
1.617549277999767696e+02,4.999999999999999899e-13,2.616465666757569488e+04,1.000000001903729333e-10
1.648972273444406369e+02,4.999999999999999899e-13,2.719109558588413711e+04,1.000000001266184141e-10
1.680395004444694393e+02,4.999999999999999899e-13,2.823727370962684290e+04,1.000000001314900555e-10
1.711817485570493886e+02,4.999999999999999899e-13,2.930319103904888470e+04,1.000000001364536174e-10
1.743239730340420977e+02,4.999999999999999899e-13,3.038884757437343433e+04,1.000000001415091127e-10
1.774661751314996536e+02,4.999999999999999899e-13,3.149424331580410581e+04,1.000000001466565025e-10
1.806083560180062761e+02,4.999999999999999899e-13,3.261937826352690172e+04,1.000000001518958258e-10
1.837505167821633165e+02,4.999999999999999899e-13,3.376425241771207948e+04,1.000000002456672689e-10
1.868926584393183248e+02,4.999999999999999899e-13,3.492886577851570473e+04,1.000000001626502077e-10
1.900347819376259508e+02,4.999999999999999899e-13,3.611321834608104109e+04,1.000000001681652793e-10
1.931768881635165371e+02,4.999999999999999899e-13,3.731731012053977611e+04,1.000000000977469027e-10
1.963189779466395635e+02,4.999999999999999899e-13,3.854114110201315634e+04,1.000000001009525377e-10
1.994610520643389577e+02,4.999999999999999899e-13,3.978471129061293323e+04,1.000000001852620040e-10
